Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paralia sulcata	Nitzschia praecurta	Denticulopsis simonsenii	Rouxia californica	Nitzschia donahuensis	Thalassiosira oliverana var. sparsa	Rhizosolenia styliformis	Rhizosolenia hebetata f. semispina	Eucampia antarctica	Thalassiosira torokina	Thalassiosira oestrupii	Nitzschia fossilis	Hemidiscus ovalis	Thalassiosira oliverana	Thalassiosira inura	Nitzschia reinholdii	Nitzschia aurica	Nitzschia arcula	Nitzschia praeinterfrigidaria	Actinocyclus karstenii	Thalassiosira complicata	Thalassiosira fasciculata	Thalassiosira striata	Odontella aurita	Thalassionema nitzschioides	Nitzschia kerguelenis	Comment



  IR	                 	                 	                  	              	178	1097	A	  2	R	CC	   0.00	      7.5000	Winter   	Diatoms                                      	F              	P                 	               	                   	+                       	                  	                     	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	+                          	+                    	       

  IR	                 	                 	                  	              	178	1097	A	  8	R	CC	  10.00	     63.3000	Winter   	Diatoms                                      	R              	P                 	+              	                   	+                       	                  	                     	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	+               	                	                             	                      	+                       	                         	+                    	+               	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 10	R	CC	  12.00	     83.3600	Winter   	Diatoms                                      	R              	P                 	               	                   	                        	                  	                     	                                   	                        	                                  	                   	+                     	+                      	                  	                 	+                      	                   	                    	                	                	                             	                      	                        	+                        	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 11	R	CC	  12.00	     92.6500	Winter   	Diatoms                                      	F              	M                 	               	                   	+                       	                  	                     	+                                  	                        	                                  	                   	+                     	+                      	                  	                 	+                      	+                  	+                   	                	                	+                            	                      	+                       	+                        	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 13	R	CC	   7.00	    112.5900	Winter   	Diatoms                                      	A              	P                 	               	+                  	                        	                  	                     	                                   	                        	                                  	                   	F                     	+                      	                  	                 	                       	                   	                    	                	                	                             	F                     	+                       	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 14	R	CC	  12.00	    117.2300	Winter   	Diatoms                                      	F              	M                 	               	                   	                        	                  	                     	                                   	                        	                                  	                   	+                     	+                      	                  	                 	+                      	+                  	                    	                	                	                             	F                     	+                       	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 15	R	CC	   9.00	    122.8200	Winter   	Diatoms                                      	               	                  	               	                   	                        	                  	                     	                                   	                        	                                  	                   	                      	+                      	                  	                 	                       	+                  	+                   	                	                	                             	F                     	+                       	                         	                     	                	                           	                     	       

