Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides var. nitzschioides,Neodelphineis pelagica,Cyclotella spp.,Chaetoceros spp. (resting spores),Aulacoseira granulata/islandica,Actinoptychus vulgaris,Actinoptychus senarius,Actinocyclus ellipticus,Thalassiothrix spp. (incl. Lioloma),Thalassiosira spp.,Skeletonema costatum,Silicoflagellates (all taxa),Rhizosolenia setigera/pungens,Pseudoeunotia doliolus,Nitzschia reinholdii,Ditylum brightwelli,Coscinodiscus spp.,Bacteriastrum comosum,"other Freshwater (Achnanthes; Fragilaria, etc.)",X Phytoliths diff. shapes,Nitzschia fossilis,Hemidiscus cuneiformis,non-planktonic diatoms,Z Actiniscus pentasterias,Rhizosolenia styliformis,Paralia sulcata,Asteromphalus spp.,Coscinodiscus plicatus,Stephanodiscus astraea,Hemiaulus sinensis,Stephanopyxis spore (apiculata),Rhizosolenia bergonii,Nitzschia marina,Proboscia alata,Cerataulina bicornis (spore),Thalassionema hirosakiensis,Stephanopyxis palmeriana,Pseudosolenia calcar-avis,Cyclotella litoralis,Rhizosolenia robusta,Cyclotella stylorum,Thalassionema nitzschioides  var. parva,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  1,H,CC,  33.00,      1.3100,Lange    ,Diatoms                                      ,A              ,                  ,1984                                          ,                      ,17             ,868                              ,2                              ,1                     ,                      ,                       ,                                   ,4                 ,                    ,10                          ,                             ,4                     ,                    ,                   ,                  ,                     ,                                               ,1                        ,                  ,                      ,                      ,                         ,                        ,               ,2                 ,                      ,1                     ,                  ,                               ,                     ,                ,               ,                            ,3                          ,                        ,                         ,                    ,                    ,                   ,                                       ,RIVER-INDUCED UPWELLING a counted= 5.58 mm2 a slide= 880 mm2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  1,H,CC,  49.00,      1.4700,Lange    ,Diatoms                                      ,               ,                  ,+                                             ,                      ,               ,                                 ,                               ,                      ,                      ,                       ,                                   ,                  ,                    ,                            ,                             ,                      ,                    ,                   ,                  ,                     ,                                               ,                         ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  2,H,CC,  11.00,     11.2300,Lange    ,Diatoms                                      ,A              ,                  ,783                                           ,                      ,32             ,857                              ,13                             ,                      ,1                     ,                       ,                                   ,49                ,                    ,8                           ,                             ,2                     ,                    ,                   ,                  ,4                    ,                                               ,5                        ,                  ,                      ,                      ,                         ,                        ,4              ,                  ,                      ,                      ,                  ,                               ,                     ,3               ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,+                                      ,a counted= 5.58 mm2 a slide= 880 mm2 river-induced upwelling mixed with oceanic * plant remains
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  3,H,CC,  10.00,     20.8500,Lange    ,Diatoms                                      ,A              ,                  ,1018                                          ,                      ,37             ,489                              ,5                              ,1                     ,                      ,                       ,                                   ,                  ,12                  ,4                           ,                             ,                      ,                    ,                   ,                  ,                     ,                                               ,2                        ,                  ,                      ,1                     ,                         ,                        ,1              ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,12                  ,                    ,                   ,                                       ,a counted= 5.58 mm2
