Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Quinqueloculina seminulum,Nonionella miocenica,Elphidium excavatum f. clavatum,Elphidium excavatum (Terquem) forma lidoensis,Elphidium articulatum,Nonionella spp.,Lenticulina americana spinosa,Lenticulina americana americana,Cibicidoides pachyderma,Astacolus sp.,Cibicides lobatulus,Globocassidulina subglobosa,Islandiella islandica,Elphidium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  1,H,CC,  10.00,      5.1200,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,A                        ,                    ,F                              ,A                                            ,F                    ,               ,                             ,                               ,                       ,             ,R                  ,                           ,                     ,R             ,inner to middle neritic (0-100m) A qtz R echinoderm spines mica shell fragments R ostracodes M glauconite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  2,H,CC,  23.00,      7.8300,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                         ,                    ,F                              ,A                                            ,F                    ,               ,                             ,                               ,                       ,             ,                   ,                           ,                     ,              ,inner to middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  3,H,CC,  15.00,     12.0000,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                         ,                    ,                               ,R                                            ,                     ,               ,                             ,                               ,                       ,A            ,                   ,                           ,R                    ,              ,"inner to middle neritic (<100m) A qtz, M glauconite, echinoderm spines, M mica, bivalves, ostracodes"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  4,H,CC,  29.00,     16.1600,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                         ,                    ,                               ,A                                            ,                     ,               ,                             ,                               ,                       ,             ,                   ,                           ,                     ,              ,inner to middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  5,H,CC,  10.00,     25.8300,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,F                        ,                    ,F                              ,A                                            ,                     ,               ,                             ,                               ,                       ,             ,R                  ,R                          ,                     ,              ,"inner to middle neritic (<100m) M mica,R glauconite, ostracodes"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  6,H,CC,  27.00,     26.7700,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,C                        ,                    ,C                              ,A                                            ,                     ,               ,                             ,                               ,                       ,             ,F                  ,                           ,                     ,              ,"inner to middle shelf (<100m) A qtz, C mica, M glauconite, R pyrite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,A,  7,H, 1,  68.00,     27.4800,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,C                        ,                    ,                               ,A                                            ,                     ,               ,R                            ,R                              ,R                      ,F            ,                   ,                           ,                     ,              ,"inner-middle neritic (<100m) A qtz, R ostracodes, R pyrite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  8,X,CC,  15.00,     36.4500,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,                         ,                    ,A                              ,A                                            ,F                    ,R              ,                             ,                               ,                       ,             ,                   ,                           ,                     ,              ,inner to middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A,  9,X,CC,   0.00,     39.9000,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,                         ,                    ,A                              ,R                                            ,A                    ,               ,                             ,                               ,                       ,             ,                   ,                           ,                     ,              ,inner to middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,A, 10,X,CC,  25.00,     50.1300,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,R                        ,C                   ,A                              ,C                                            ,                     ,               ,                             ,                               ,                       ,             ,                   ,                           ,                     ,              ,inner to middle neritic (<100m)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
