Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Didymocyrtis laticonus,Didymocyrtis antepenultima,Diartus petterssoni,Diartus hughesi,Calocycletta caepa,Phormostichoartus fistula,Lychnodictyum audax,Siphostichartus corona,Phormostichoartus doliolum,Didymocyrtis penultima,Dendrospyris bursa,Anthocyrtidium pliocenica,Lithopera bacca,Acrobotrys tritubus,Stichocorys johnsoni,Solenosphaera omnitubus,Didymocyrtis avita,Anthocyrtidium michelinae,Spongaster berminghami,Pterocanium prismatium,Amphirhopalum ypsilon,Anthocyrtidium jenghisi,Didymocyrtis tetrathalamus,Spongaster tetras,Pterocorys campanula,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium trachelium,Stylatractus universus,Lamprocyrtis nigriniae,Anthocyrtidium euryclathrum,Pterocorys hertwigii,Collosphaera tuberosa,Collosphaera orthoconus,Buccinosphaera invaginata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. tuberosa       ,              ,115, 710,A,  1,H, 2,  70.00,      2.2000,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,R              ,                   ,                    ,                       ,                  ,-                        ,                      ,-                     ,F                    ,-                      ,F                         ,F                ,F                   ,-                          ,-                      ,F                       ,-                     ,R                     ,F                          ,F                   ,R                    ,R                      ,-                        ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN14              ,              ,115, 710,A,  1,H, 4,  70.00,      5.2000,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,R              ,                   ,                    ,                       ,                  ,-                        ,                      ,-                     ,C                    ,-                      ,C                         ,R                ,F                   ,-                          ,-                      ,C                       ,R                     ,R                     ,R                          ,C                   ,-                    ,-                      ,-                        ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN14              ,              ,115, 710,A,  1,H,CC,  14.00,      9.4600,Johnson  ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,R              ,                   ,                    ,                       ,                  ,-                        ,                      ,-                     ,F                    ,-                      ,F                         ,R                ,F                   ,-                          ,-                      ,R                       ,R                     ,F                     ,R                          ,-                   ,-                    ,-                      ,-                        ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare RN13  ,              ,115, 710,A,  2,H, 2,  70.00,     11.7000,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,-                        ,                      ,-                     ,C                    ,-                      ,C                         ,                 ,F                   ,F                          ,R                      ,C                       ,F                     ,-                     ,-                          ,-                   ,-                    ,-                      ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
