Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia truncatulinoides (dex.),Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globigerinoides trilobus,Globigerinoides tenellus,Globigerinoides ruber (white),Globigerinoides gomitulus,Globigerinita glutinata,Globigerina falconensis,Globigerina cryophila (dex.),Globigerina bulloides,Globorotalia tumida,Globorotalia scitula,Globorotalia pumilio,Globorotalia menardii,Globorotalia cf. tosaensis (dex.),Globigerinoides sacculifer,Globigerinita uvula,Globigerinella aequilateralis (symmetrical),Globigerina quinqueloba,Globigerinella aequilateralis (asymmetrical),Globorotalia truncatulinoides (sin.),Globigerina digitata,Globigerina calida,Globorotalia flexuosa,Globigerinoides conglobatus,Globigerinita iota,Globigerina rubescens,Sphaeroidinella dehiscens,Globorotalia hirsuta,Globorotalia anfracta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  4,H, 3,  60.00,     27.1000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                           ,+                ,+                                 ,+                         ,+                                   ,+                                 ,+                                 ,+                       ,+                       ,+                            ,+                        ,+                      ,+                      ,                            ,                     ,                   ,                    ,+                   ,                     ,                                 ,+                         ,+                  ,+                                          ,+                      ,                                            ,                                    ,+                   ,+                 ,                     ,+                          ,                  ,+                    ,+                        ,+                   ,+                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  5,H, 3,  52.00,     36.5200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                           ,+                ,+                                 ,+                         ,+                                   ,+                                 ,+                                 ,                        ,+                       ,+                            ,+                        ,+                      ,+                      ,+                           ,+                    ,+                  ,+                   ,                    ,+                    ,                                 ,+                         ,                   ,+                                          ,+                      ,                                            ,                                    ,+                   ,+                 ,+                    ,+                          ,+                 ,+                    ,                         ,                    ,                     ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 16,H, 2,  95.00,    141.6500,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                           ,+                ,+                                 ,+                         ,                                    ,+                                 ,+                                 ,                        ,                        ,+                            ,+                        ,+                      ,+                      ,+                           ,+                    ,                   ,                    ,                    ,                     ,                                 ,                          ,+                  ,+                                          ,+                      ,                                            ,+                                   ,+                   ,+                 ,                     ,                           ,                  ,                     ,                         ,                    ,                     ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 31,X,CC,   0.00,    274.9000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                           ,                 ,+                                 ,+                         ,+                                   ,+                                 ,+                                 ,+                       ,                        ,+                            ,+                        ,                       ,+                      ,                            ,                     ,+                  ,                    ,                    ,+                    ,                                 ,                          ,                   ,                                           ,                       ,+                                           ,                                    ,                    ,                  ,                     ,                           ,                  ,                     ,                         ,                    ,                     ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
