Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera (unspecified taxon or taxa)	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra (unspecified taxon or taxa)	Pontosphaera (unspecified taxon or taxa)	Helicosphaera recta	Helicosphaera compacta	Discoaster tanii	Discoaster deflandrei	Cyclicargolithus floridanus	Cyclicargolithus (unspecified taxon or taxa)	Coronocyclus (unspecified taxon or taxa)	Coccolithus pelagicus	Coccolithus formosus	Coccolithus (unspecified taxon or taxa)	Clausicoccus (unspecified taxon or taxa)	Zeugrhabdotus (unspecified taxon or taxa)	Reticulofenestra hillae	Discoaster barbadiensis	Braarudosphaera spp.	Sphenolithus distentus	Micrantholithus (unspecified taxon or taxa)	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Sphenolithus (unspecified taxon or taxa)	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Discoaster bollii	Calcidiscus macintyrei	Triquetrorhabdulus rugosus	Discoaster triradiatus	Discoaster hamatus	Calcidiscus (unspecified taxon or taxa)	Discoaster quinqueramus	Discoaster berggrenii	Discoaster surculus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus sp. c	Rhabdosphaera (unspecified taxon or taxa)	Discoaster asymmetricus	Ceratolithus (unspecified taxon or taxa)	Helicosphaera (unspecified taxon or taxa)	Amaurolithus tricorniculatus	Crenalithus (unspecified taxon or taxa)	Ceratolithus cristatus	Umbilicosphaera (unspecified taxon or taxa)	Scyphosphaera (unspecified taxon or taxa)	Pseudoemiliania (unspecified taxon or taxa)	Ceratolithus rugosus	Pontosphaera japonica	Discoaster tamalis	Hayaster perplexus	Scapholithus (unspecified taxon or taxa)	Helicosphaera sellii	Gephyrocapsids (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Ceratolithus armatus	Comment



  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  1	H	 1	  88.00	      0.8800	Clark    	Nannofossils                                 	C              	G                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	rR                         	                                            	                                        	C                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	rR                   	rR                      	                     	rR                 	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	C                                          	C                                        	R                                          	                    	                     	                  	                  	                                        	                    	C                     	A                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  1	H	 1	 119.00	      1.1900	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	R                                       	                   	                      	                	                     	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	                        	                     	rR                 	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	A                                      	F                     	C                                          	C                                        	R                                          	                    	                     	                  	                  	R                                       	                    	C                     	C                    	F                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  1	H	 2	  88.00	      2.3800	Clark    	Nannofossils                                 	C              	P                 	F                                         	                          	                         	                       	                         	                                            	                                        	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	rR                   	rR                      	                     	rR                 	rR               	rR                    	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	F                                        	                            	A                                      	F                     	C                                          	F                                        	R                                          	                    	                     	                  	                  	                                        	                    	F                     	A                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  1	H	 3	  88.00	      3.8800	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	                                        	                   	                      	                	                     	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	rR                      	                     	                   	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	F                                        	                            	C                                      	F                     	C                                          	F                                        	R                                          	                    	                     	                  	                  	                                        	rR                  	C                     	A                    	F                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.
