Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores
318-U1361A-1H-CC-PAL-PALY-PALYA,318,U1361,A,1,1-CC,H,CC,PAL,PALY-PALYA,0,7,8.96,9.03,F [Default],B [Default],T [Default],A [Default],B [Default]
318-U1361A-6H-CC-PAL-PALY-PALYA,318,U1361,A,6,6-CC,H,CC,PAL,PALY-PALYA,0,5,56.675,56.725,F [Default],B [Default],T [Default],A [Default],B [Default]
318-U1361A-10H-CC-PAL-PALY-PALYA,318,U1361,A,10,10-CC,H,CC,PAL,PALY-PALYA,0,5,94.94,94.99,B [Default],B [Default],B [Default],T [Default],B [Default]
318-U1361A-14H-CC-PAL-PALY-PALYA,318,U1361,A,14,14-CC,H,CC,PAL,PALY-PALYA,0,4,132.53,132.57,B [Default],B [Default],B [Default],T [Default],B [Default]
318-U1361A-17X-CC-PAL-PALY-PALYA,318,U1361,A,17,17-CC,X,CC,PAL,PALY-PALYA,0,5,160.29,160.34,F [Default],T [Default],B [Default],A [Default],B [Default]
318-U1361A-22X-CC-PAL-PALY-PALYA,318,U1361,A,22,22-CC,X,CC,PAL,PALY-PALYA,0,5,205.16,205.21,B [Default],B [Default],B [Default],T [Default],B [Default]
318-U1361A-25X-CC-PAL-PALY-PALYA,318,U1361,A,25,25-CC,X,CC,PAL,PALY-PALYA,0,5,234.77,234.82,C [Default],B [Default],B [Default],A [Default],B [Default]
318-U1361A-29X-CC-PAL-PALY-PALYA,318,U1361,A,29,29-CC,X,CC,PAL,PALY-PALYA,0,5,273.37,273.42,B [Default],B [Default],B [Default],T [Default],B [Default]
318-U1361A-33X-CC-PAL-PALY-PALYA,318,U1361,A,33,33-CC,X,CC,PAL,PALY-PALYA,0,5,311.625,311.675,T [Default],B [Default],B [Default],T [Default],B [Default]
318-U1361A-39X-CC-PAL-PALY-PALYA,318,U1361,A,39,39-CC,X,CC,PAL,PALY-PALYA,0,5,369.21,369.26,T [Default],B [Default],B [Default],F [Default],B [Default]
