Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 941	B	  1	H	 1	   0.00	      0.0000	Showers  	Planktonic Foraminifers                      	A              	G                 	R                           	F                         	-                   	-                           	F                  	F                            	-                     	C                    	-                   	-                     	F                     	-                              	R                              	-                                     	C                                	C                                  	A                            	F                           	R                        	-                    	-               	Zone assignment uncertain; PT; from Leg 155IR; p. 523 Table 4

  IR	Holocene         	                 	Z                 	              	155	 941	B	  1	H	CC	   5.00	      6.4600	Showers  	Planktonic Foraminifers                      	A              	G                 	F                           	F                         	-                   	-                           	F                  	F                            	-                     	R                    	-                   	-                     	R                     	-                              	R                              	-                                     	C                                	C                                  	A                            	R                           	-                        	-                    	-               	Zone assignment uncertain; SF;SP;BN;PT;IS; from Leg 155IR; p. 523 Table 4

  IR	Late Pleistocene 	                 	R                 	Y             	155	 941	B	  2	H	CC	  22.00	     16.7700	Showers  	Planktonic Foraminifers                      	C              	M                 	-                           	F                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	Zone assignment uncertain; SP; IS; BN; SF; PT; from Leg 155IR; p. 523 Table 4

  IR	Late Pleistocene 	                 	R                 	Y             	155	 941	B	  3	H	CC	  68.00	     25.1400	Showers  	Planktonic Foraminifers                      	F              	M                 	F                           	F                         	-                   	-                           	-                  	F                            	-                     	R                    	-                   	R                     	-                     	-                              	R                              	-                                     	C                                	F                                  	C                            	-                           	-                        	-                    	-               	IS;SP;BN;OS;PT; from Leg 155IR; p. 523 Table 4

  IR	Late Pleistocene 	                 	R                 	Y             	155	 941	B	  4	H	CC	  34.00	     34.6600	Showers  	Planktonic Foraminifers                      	A              	M                 	-                           	F                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	R                     	-                     	-                              	-                              	-                                     	-                                	A                                  	C                            	-                           	-                        	-                    	-               	SP; IS; BN; PT; from Leg 155IR; p. 523 Table 4

  IR	Late Pleistocene 	                 	R                 	Y             	155	 941	B	  5	H	CC	 115.00	     43.4900	Showers  	Planktonic Foraminifers                      	C              	P                 	-                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	F                                  	C                            	-                           	-                        	F                    	-               	IS;BN;SP;SF;PT;S; from Leg 155IR; p. 523 Table 4

