Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia tumida,Truncorotalia truncatulinoides (sin.),Globoconella inflata,Truncorotalia truncatulinoides (dex.),Hirsutella hirsuta,Globoturborotalita rubescens,Truncorotalia crassaformis,Comment, 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,1,H,CC,10,6.46,Chaisson ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,A                                    ,+                   ,A                                    ,                  ,+                           ,                          ,sponge spicules  ostracodes ruber pink, 
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,3,H,CC,21,25.81,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,2,A                                    ,+                   ,R                                    ,                  ,                            ,1,"pyrite, mica, small forams and ostracodes",
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,4,H,CC,19,35.31,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,+                                    ,A                   ,+                                    ,R                 ,R                           ,                          ,sponge spicules ostrcodes forams fragments,
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,5,H,CC,24,44.97,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,1,                                     ,A                   ,R                                    ,                  ,                            ,                          ,big pyrite-filled burrows,
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,6,H,CC,0,53.97,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,+                                    ,+                   ,                                     ,                  ,                            ,                          ,"plastic chips (this sediment is not from CC but from the last part of the core, the core catcher was empty) pyrite",
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,H,7,H,CC,23,63.59,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,1,                                     ,                    ,                                     ,                  ,                            ,                          ,"pyrite dissolved, almost only forams (only benthics)",
