Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Calcidiscus leptoporus,Helicosphaera carteri,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Coccolithus pelagicus,Ceratolithus cristatus,Gephyrocapsa sp.3 medium,Gephyrocapsa omega,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  1,H,CC,  10.00,      6.4600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                         ,                      ,                     ,                     ,                       ,                        ,                     ,                      ,                        ,                  ,D                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  3,H,CC,  21.00,     25.8100,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,A                        ,A                     ,F                    ,                     ,                       ,                        ,F                    ,R                     ,C                       ,C                 ,C                ,> 0.085    < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  4,H,CC,  19.00,     35.3100,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,A                        ,C                     ,F                    ,2                    ,2                      ,1                       ,F                    ,R                     ,                        ,                  ,                 ,> 0.085   < 0.26 - (R) diatom frags
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  5,H,CC,  24.00,     44.9700,Raffi    ,Nannofossils                                 ,F              ,P                 ,C                       ,C                        ,                      ,                     ,                     ,                       ,                        ,                     ,                      ,                        ,                  ,                 ,nearly barren!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  6,H,CC,   0.00,     53.9700,Raffi    ,Nannofossils                                 ,F              ,P                 ,A                       ,A                        ,R                     ,                     ,                     ,                       ,                        ,                     ,                      ,                        ,                  ,                 ,few nannos! - inc. terrigenous input!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,H,  7,H,CC,  23.00,     63.5900,Raffi    ,Nannofossils                                 ,F              ,P                 ,C                       ,C                        ,                      ,                     ,                     ,                       ,                        ,                     ,                      ,                        ,                  ,                 ,Gephyrocapsids and not much else!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
