Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum (multiwindowed)	Distephanus speculum speculum	Distephanus quinquangellus	Distephanus crux	Dictyocha varia	Dictyocha subclinata (long axis)	Dictyocha extnesa extensa (medusid)	Bachmannocena circulus	Dictyocha subclinata (short axis)	Dictyocha fibula fibula	Dictyocha extensa extensa	Bachmannocena elliptica	Dictyocha fibula ausonia	Dictyocha varia (cruxid)	Dictyocha fibula mutabilis	Hermesinum adriaticum	Dictyocha perlaevis perlaevis	Distephanus speculum tenuis	Distephanus pulchra	Dictyocha clinata	Dictyocha sp.	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. cocoensis	Bachmannocena diodon nodosa	Parathranium tenuipes	Dictyocha extensa longa	Distephanus speculum speculum (5-sided)	Dictyocha messanensis (5-sided)	Dictyocha messanensis	Dictyocha perlaevis flexatella	Dictyocha calida calida	Distephanus boliviensis	Dictyocha delicata bisecta	Bachmannocena quadrangula	Dictyocha aculeata subaculeata	Dictyocha aculeata aculeata	Comment



  SR	Pleistocene      	                 	D. aculeata       	              	138	 851	B	  1	H	 1	 120.00	      1.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                             	                          	                	               	                                	                                   	                      	                                 	                       	                         	                       	                        	                        	                          	                     	                             	                           	1                  	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	246                  	                              	3                      	                       	                          	                         	36                            	14                         	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Pleistocene      	                 	B. quadrangula    	              	138	 851	B	  2	H	 1	 120.00	      8.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                             	                          	                	               	                                	                                   	                      	                                 	3                      	                         	                       	                        	                        	                          	                     	35                           	                           	3                  	                 	             	                                        	                                        	                           	                     	11                     	                                       	                               	69                   	                              	1                      	                       	                          	                         	22                            	5                          	Aberrant specimens = 0; Total count = 149; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Pleistocene      	                 	B. quadrangula    	              	138	 851	B	  3	H	 1	 120.00	     18.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	2                            	                          	                	               	                                	                                   	                      	                                 	                       	                         	                       	                        	                        	                          	                     	7                            	                           	                   	                 	29           	                                        	                                        	                           	                     	1                      	                                       	                               	27                   	3                             	                       	4                      	                          	227                      	                              	                           	Aberrant specimens = 3; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 851	B	  4	H	 4	 120.00	     32.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                             	5                         	                	               	                                	                                   	                      	                                 	                       	2                        	                       	                        	                        	                          	                     	7                            	                           	                   	                 	22           	                                        	                                        	                           	                     	5                      	1                                      	                               	16                   	2                             	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 60; from ODP 138SR Chapter 8 Table 8 p 142-143

