Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Siphostichartus corona	Lithopera thornburgi	Diartus petterssoni	Cyrtocapsella japonica	Carpocanopsis cristata	Calocycletta caepa	Botryostrobus miralestensis	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Stichocorys peregrina	Stylatractus universus	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Theocorythium vetulum	Pterocanium prismatium	Spongaster tetras	Amphirhopalum ypsilon	Lamprocyrtis heteroporos	Lamprocyrtis neoheteroporos	Theocalyptra davisiana	Theocorythium trachelium trachelium	Pterocorys minythorax	Anthocyrtidium angulare	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  SR	                 	                 	RN16              	              	138	 851	B	  1	H	 4	 110.00	      5.6000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	                      	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	R                                  	R                    	                       	R                     	R                    	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	P12               	              	138	 851	B	  1	H	CC	  18.00	      7.5500	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	R                                  	R                    	                       	R                     	R                    	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. ypsilon        	              	138	 851	B	  2	H	 2	 110.00	     10.1000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	R                                  	R                    	                       	R                     	-                    	from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. ypsilon        	              	138	 851	B	  2	H	CC	  20.00	     17.1800	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	-                          	R                     	R                                  	R                    	                       	R                     	                     	Reworked older fauna = Trace; from ODP Leg 138 Ch 11 Figure 8 p 218-219

  SR	                 	                 	A. angulare       	              	138	 851	B	  3	H	 2	 110.00	     19.6000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	rT                   	                      	R                	R                    	                        	-                          	R                     	R                                  	R                    	R                      	-                     	                     	from ODP Leg 138 Ch 11 Figure 8 p 218-219

