Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina peregrina,Stilostomella cf. consobrina,Oridorsalis umbonatus,Nodogenerina adolphina,Melonis barleeanus,Gyroidina neosoldanii,Frondicularia sp.,Dentalina sp.,Cibicides corpulentus,Bulimina striata mexicana,Trifarina angulosa,Globocassidulina subglobosa,Fissurina sp.,Cibicidoides mckannai,Globobulimina affinis,Cibicidoides wuellerstorfi,Bulimina striata striata,Uvigerina auberiana,Pullenia bulloides,Pleurostomella alternans,Nonionella auris,Cibicidoides hitchcockae,Hoeglundina elegans,Melonis pompilioides,Gyroidina orbicularis,Chilostomella ovoidea,Pyrgo murrhina,Uvigerina hollicki,Uvigerina bifurcata,Globobulimina turgida,Mucronina sp.,Gyroidina zelandica,Bulimina denudata,Bucella peruviana,Quinqueloculina seminulum,Miliolinella subrotundata,Cassidulina laevigata,Cassidulina crassa,Glandulina laevigata,Lagena sp.,Cibicidoides bradyi,Nonion sp.,Lagena gracillima,Cibicides lobatulus,Dentalina filiformis,"Clavulina sp. ""A""",Globobulimina spinifera,Uvigerina senticosa,Lagena striata,Epistominella pacifica,Dentalina communis,Bulimina alazanensis,Buliminella tenuata,Ehrenbergina glabra,Pullenia quinqueloba,Triloculina tricarinata,Cassidulinoides parkerae,Bolivina spissa,Astrononion sp.,Parafissurina ovata,Stainforthia complanata,Valvulineria laevigata,Cassidulinoides tenuis,Bolivina sp.,Pyrgo serrata,Martinottiella communis,Karreriella bradyi,Hormosina globulifera,Pyrgo oblonga,Miliolinella oblonga,Lenticulina sp.,Discanomalina coronata,Nonionella sp.,Hanzawaia sp.,Saccammina sphaerica,Anomalina globulosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  1,H, 1,  45.00,      0.4500,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,F                  ,                            ,R                    ,                      ,                  ,                     ,                 ,             ,                     ,F                        ,                  ,                           ,             ,C                    ,R                    ,R                         ,                        ,R                  ,R                 ,                        ,R               ,                        ,R                  ,                    ,R                    ,R                    ,R             ,R                 ,                   ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,                     ,                  ,                    ,          ,R                  ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,                      ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,R                      ,                      ,                      ,            ,             ,R                      ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,R                   ,R                  ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  1,H, 2,  87.00,      2.3700,Spiegler ,Benthic Foraminifers                         ,C              ,G                 ,F                  ,                            ,R                    ,                      ,R                 ,                     ,                 ,             ,R                    ,R                        ,                  ,                           ,             ,F                    ,R                    ,C                         ,R                       ,R                  ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,R                    ,R             ,R                 ,                   ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,R                 ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,                      ,                  ,                    ,                   ,                   ,R                   ,                       ,                        ,               ,               ,                   ,                       ,R                     ,                      ,            ,             ,R                      ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  1,H,CC,  22.00,      2.9800,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,                     ,F                        ,R                 ,                           ,R            ,F                    ,R                    ,R                         ,R                       ,R                  ,R                 ,                        ,R               ,                        ,R                  ,                    ,                     ,F                    ,R             ,R                 ,R                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,                     ,R                 ,                    ,          ,                   ,          ,R                ,                   ,R                   ,                 ,R                      ,                   ,              ,                      ,                  ,                    ,R                  ,                   ,                    ,R                      ,                        ,               ,               ,R                  ,R                      ,R                     ,                      ,            ,R            ,                       ,                  ,                     ,             ,                    ,R              ,                      ,R             ,R            ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  2,H, 3,   9.00,      6.0900,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,R                    ,R                        ,                  ,                           ,R            ,R                    ,R                    ,R                         ,R                       ,R                  ,R                 ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,R             ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,R                ,                   ,                    ,                 ,                       ,                   ,R             ,                      ,                  ,                    ,F                  ,                   ,R                   ,                       ,                        ,               ,R              ,                   ,R                      ,R                     ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
