Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 942,C,  1,H,CC,   3.00,      4.2000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,F                         ,-                   ,-                           ,-                  ,C                            ,-                     ,R                    ,R                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p 551 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 942,C,  2,H,CC,  11.00,     13.9200,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,R                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p 551 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 942,C,  3,H,CC,   0.00,     45.6600,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,C                         ,-                   ,R                           ,C                  ,F                            ,-                     ,R                    ,R                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,-                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 551 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 942,C,  4,H,CC,  27.00,     55.4000,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,C                           ,C                         ,-                   ,R                           ,F                  ,F                            ,-                     ,R                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,F                                  ,F                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p 551 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 942,C,  5,H,CC,  12.00,     72.1700,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,C                         ,-                   ,R                           ,F                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 551 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
