Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina velascoensis,Morozovella velascoensis,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Acarinina soldadoensis,Morozovella subbotinae,Subbotina linaperta,Morozovella occlusa,Morozovella gracilis,Globanomalina planoconica,Chiloguembelina wilcoxensis,Morozovella marginodentata,Acarinina primitiva,Morozovella lensiformis,Morozovella formosa,Globoconusa daubjergensis,Acarinina quetra,Morozovella aragonensis,Acarinina angulosa,Subbotina inaequispira,Subbotina lozanoi,Subbotina cryptomphala,Morozovella caucasica,Igorina broedermanni,Globigerinatheka subconglobata,Acarinina bullbrooki,Acarinina spinuloinflata,Morozovella spinulosa,Globigerinatheka mexicana,Truncorotaloides topilensis,Truncorotaloides rohri,Turborotalia possagnoensis,Globigerina venezuelana,Hantkenina dumblei,Morozovella lehneri,Guembelitrioides higginsi,Acarinina pentacamerata,Globigerinatheka index,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina eocaena,Globigerina corpulenta,Catapsydrax dissimilis,Subbotina venezuelana,Subbotina praeturritilina,Pseudohastigerina micra,Planorotalites pseudoscitulus,Acarinina densa,Globigerinatheka beckmanni,Hantkenina alabamensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,B,  2,H,CC,  25.00,     14.8100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                        ,                 ,                 ,                            ,                      ,                      ,F                  ,                   ,                    ,                         ,                           ,                          ,                   ,                       ,                   ,                         ,                ,                       ,                  ,                      ,                 ,                      ,                     ,                    ,                              ,P                   ,                        ,                     ,F                        ,                           ,                      ,                          ,F                      ,                  ,                   ,                         ,                       ,                      ,                     ,P                          ,                 ,R                     ,A                     ,                     ,F                        ,                       ,                             ,               ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,B,  3,H,CC,  21.00,     23.9400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                        ,                 ,                 ,                            ,                      ,                      ,                   ,                   ,                    ,                         ,                           ,                          ,                   ,                       ,                   ,                         ,                ,                       ,                  ,                      ,                 ,                      ,                     ,                    ,                              ,R                   ,                        ,R                    ,F                        ,                           ,P                     ,                          ,F                      ,                  ,                   ,                         ,                       ,                      ,                     ,                           ,                 ,R                     ,F                     ,                     ,F                        ,                       ,                             ,               ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,B,  4,H,CC,  38.00,     33.7000,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                        ,                 ,                 ,                            ,                      ,                      ,F                  ,                   ,                    ,                         ,                           ,                          ,                   ,                       ,                   ,                         ,                ,                       ,                  ,                      ,                 ,                      ,                     ,                    ,                              ,R                   ,                        ,P                    ,F                        ,                           ,                      ,                          ,F                      ,                  ,                   ,                         ,                       ,                      ,                     ,                           ,                 ,R                     ,F                     ,                     ,F                        ,                       ,                             ,               ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,B,  5,H,CC,  22.00,     43.3200,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                        ,                 ,                 ,                            ,                      ,                      ,R                  ,                   ,                    ,                         ,                           ,                          ,                   ,                       ,                   ,                         ,                ,                       ,                  ,                      ,                 ,                      ,                     ,                    ,                              ,P                   ,                        ,                     ,R                        ,                           ,                      ,                          ,R                      ,                  ,                   ,                         ,                       ,                      ,                     ,P                          ,                 ,                      ,F                     ,                     ,F                        ,                       ,                             ,               ,                          ,P                     ,       
