Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerinatheka senni	Globigerina spp.	Globorotalia opima nana	Globigerinelloides barri	Catapsydrax dissimilis	Sphaeroidinella dehiscens	Pulleniatina spp. (dextral)	Globorotalia tumida	Globorotalia menardii (dex.)	Globorotalia flexuosa	Globoquadrina altispira	Globigerinoides obliquus	Comment



  SR	Late Pliocene    	                 	N19-N20           	              	124	 770	B	  4	R	CC	  12.00	    155.1500	Nederbragt	Planktonic Foraminifers                      	R              	                  	                      	                	                       	                        	                      	VR                       	R                          	C                  	R                           	VR                   	R                      	C                       	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Oligocene        	                 	P15               	              	124	 770	B	 13	R	 2	  73.00	    390.4300	Nederbragt	Planktonic Foraminifers                      	R              	                  	                      	A               	                       	                        	A                     	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Oligocene        	                 	P15               	              	124	 770	B	 13	R	 3	  50.00	    391.7000	Nederbragt	Planktonic Foraminifers                      	A              	                  	                      	A               	                       	                        	A                     	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Oligocene        	                 	P15               	              	124	 770	B	 13	R	CC	  11.00	    395.1400	Nederbragt	Planktonic Foraminifers                      	R              	                  	                      	R               	R                      	                        	A                     	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Oligocene        	                 	P15               	              	124	 770	B	 14	R	 1	 148.00	    399.3800	Nederbragt	Planktonic Foraminifers                      	R              	                  	                      	C               	T                      	                        	C                     	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Oligocene        	                 	P15               	              	124	 770	B	 14	R	 3	   1.00	    400.9100	Nederbragt	Planktonic Foraminifers                      	C              	                  	                      	R               	R                      	                        	R                     	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Middle Eocene    	                 	P14               	              	124	 770	B	 15	R	 4	 100.00	    413.1000	Nederbragt	Planktonic Foraminifers                      	A              	                  	A                     	R               	R                      	R                       	                      	                         	                           	                   	                            	                     	                       	                        	ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Middle Eocene    	                 	P14               	P13           	124	 770	B	 15	R	CC	   6.00	    414.3500	Nederbragt	Planktonic Foraminifers                      	A              	                  	A                     	                	R                      	                        	                      	                         	                           	                   	                            	                     	                       	                        	ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

  SR	Middle Eocene    	                 	P14               	P13           	124	 770	B	 16	R	 1	 127.00	    418.5700	Nederbragt	Planktonic Foraminifers                      	A              	                  	A                     	A               	                       	                        	                      	                         	                           	                   	                            	                     	                       	                        	ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163

