Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nummulites ponomensis,Lepidocyclina yurnagunensis,Lepidocyclina sp.,Lepidocyclina dartoni,Lepidocyclina canellei,Nummulites sp.,Amphistegina spp.,Miogysina sp.,Miogysina antillea,Gypsina cf. vesicularis,Nummulites cojimarensis,Archaias angulatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B,  1,H, 1,  50.00,      0.5000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,              ,                 ,             ,                  ,                       ,                       ,r                 ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 10,H, 3,  50.00,     86.0000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,              ,r                ,             ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 11,H, 2,  50.00,     94.0000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,r                ,                     ,                      ,r             ,r                ,             ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 12,H, 4,  50.00,    106.5000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,              ,r                ,             ,                  ,                       ,r                      ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 13,H, 4,  50.00,    116.3000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,              ,r                ,             ,                  ,r                      ,r                      ,r                 ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 13,H, 5,  50.00,    117.8000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,r                          ,                 ,                     ,                      ,r             ,                 ,r            ,r                 ,r                      ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 15,H, 3,  12.00,    133.4200,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,r             ,                 ,r            ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 16,H, 4,  86.00,    145.2600,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,r                          ,                 ,                     ,                      ,r             ,r                ,             ,r                 ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 17,X, 1,  50.00,    150.2000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,r                          ,                 ,                     ,                      ,              ,r                ,r            ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 18,X, 1,  50.00,    162.7000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,r             ,                 ,             ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 19,X, 4,  50.00,    176.8000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,                     ,                           ,                 ,                     ,                      ,r             ,r                ,             ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 20,X, 1,  89.00,    182.2900,Raymo    ,Benthic Foraminifers                         ,               ,                  ,r                    ,r                          ,r                ,r                    ,r                     ,              ,                 ,             ,                  ,                       ,                       ,                  ,from Fourcaqde & Butterlin; ODP 101 SR Ch 2 Fig 3 p51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
