Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia kugleri,Globorotalia cerroazulensis pomeroli,Globigerinoides primordius,Neogloboquadrina continuosa,Globorotalia mayeri,Globorotalia fohsi peripheroronda,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina dehiscens,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides cf. altiapertura,Globigerinita glutinata,Globigerina angustiumbilicata,Catapsydrax dissimilis,Praeorbulina sicanus,Globigerinoides subquadratus,Globigerinoides immaturus,Catapsydrax unicavus,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Globigerina praebulloides,Globigerina decoraperta,Sphaeroidinellopsis disjuncta,Praeorbulina cf. sicanus,Globorotalia praescitula,Globorotalia bella,Globorotalia acrostoma,Globoquadrina tripartita,Globigerinoides obliquus,Globigerinella obesa,Praeorbulina transitoria,Praeorbulina glomerosa,Globorotalia archeomenardii,Orbulina suturalis,Globorotalia fohsi peripheroacuta,Globigerina druryi,Orbulina universa,Globigerina bulloides,Globorotalia praemenardii,Orbulina bilobata,Globorotalia fohsi fohsi,Globorotalia fohsi cf. lobata,Sphaeroidinellopsis subdehiscens,Globorotalia cf. scitula,Globigerinoides cf. mitra,Clavatorella bermudezi,Globorotalia fohsi lobata,Globorotalia scitula,Sphaeroidinellopsis seminulina,Globorotalia fohsi robusta,Globorotalia margaritae evoluta,Globorotalia inflata,Globorotalia exilis,Globoquadrina altispira globosa,Globigerina falconensis,Globorotalia aff. conoidea,Neogloboquadrina acostaensis,Globorotalia truncatulinoides,Globorotalia plesiotumida,Globorotalia limbata,Globorotalia cf. Gr. plesiotumida,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina nepenthes,Globorotalia menardii,Globigerinoides ruber,Globigerina woodi,Globorotalia merotumida,Globorotalia cf. paralenguaensis,Globigerinoides cf. conglobatus,Neogloboquadrina humerosa,Globorotalia paralenguaensis,Globorotalia juanai,Globorotalia cibaoensis,Globigerinoides cf. bollii,Globorotalia cf. Gr. multicamerata,Neogloboquadrina pseudopachyderma,Globigerinoides siegliei,Neogloboquadrina blowi,Hastigerina pelagica,Candeina nitida,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia miocenica,Globorotalia margaritae margaritae,Globorotalia cf. Gr. juanai,Globoquadrina cf. baroemoenensis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia multicamerata,Globorotalia flexuosa,Globorotalia cf. Gr. miocenica,Neogloboquadrina pseudopima,Globorotalia crassaformis oceanica,Globorotalia crassaformis crassaformis,Globorotalia aff. bermudezi,Globigerina rubescens,Globigerinoides trilobus fistulosus,Globigerinoides trilobus cf. fistulosus,Globorotalia pertenuis,Globorotalia crassaformis ronda,Globigerina incisa,Globorotalia crassaformis viola,Neogloboquadrina cf. acostaensis,Globorotalia planispira,Globorotalia tosaensis,Globorotalia crassaformis cf. hessi,Globorotalia ungulata,Globorotalia tumida,Globigerina calida calida,Globorotalia crassaformis hessi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 627,B,  1,H, 1,  25.00,      0.2500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,R                        ,                    ,                            ,                          ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,R                   ,                              ,                          ,                               ,F                   ,                   ,                               ,R                      ,                          ,                            ,F                            ,                         ,                    ,                                 ,                        ,R                          ,R                            ,                     ,F                    ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,T              ,                          ,                                  ,                      ,                                  ,                           ,                                ,R                        ,R                           ,F                         ,                          ,r                    ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,r                              ,                                ,                       ,                      ,                                   ,R                    ,R                  ,R                        ,r                              ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 627,B,  1,H, 2,  25.00,      1.7500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,R                        ,                    ,                            ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,T                   ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,                            ,C                            ,                         ,                    ,                                 ,                        ,                           ,F                            ,                     ,R                    ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,R                           ,F                         ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,r                              ,                                ,                       ,                      ,                                   ,R                    ,                   ,R                        ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 627,B,  1,H, 4,  25.00,      4.7500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,                         ,                    ,                            ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,R                   ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,                            ,F                            ,                         ,                    ,                                 ,                        ,R                          ,                             ,                     ,C                    ,R                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,R                   ,R              ,                          ,                                  ,r                     ,                                  ,                           ,                                ,R                        ,                            ,F                         ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,r                              ,                                ,                       ,                      ,                                   ,F                    ,R                  ,R                        ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 627,B,  1,H,CC,  11.00,      5.7800,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,C                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,r                  ,                               ,                       ,                          ,                            ,R                            ,                         ,                    ,                                 ,                        ,R                          ,F                            ,                     ,R                    ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,R                   ,               ,                          ,                                  ,r                     ,                                  ,                           ,                                ,R                        ,R                           ,R                         ,                          ,                     ,                              ,                           ,                                  ,R                                     ,                           ,                     ,                                   ,r                                      ,                      ,R                              ,                  ,T                              ,                                ,                       ,R                     ,R                                  ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
