leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
26,254,,31,1,98.0,276.00,276.98,  277.50,"MCKELVEY, B. C.",BASALT,,"MEDIUM GRAINED, COGNATE XENOLITH AT 105 CM AND FINER GRAINED","NO OTHER JOINTS, ONE CARBONATE VEIN (2 CM)",comments: FRESH BASALT,,,,,CARB comments :  ONE CARBONATE VEIN (2 CM),,
26,254,,33,1,32.0,300.00,300.32,  300.72,"MCKELVEY, B. C.",SEDIMENT (FERRUGINOUS SILTY CLAY),,,,,"MODERATE BROWN (5 YR 3/4), POSSIBLY WEATHERED, DEPOSITIONAL CONTACT AT 72 CM",,,,,,
26,254,,33,1,72.0,300.00,300.72,  301.50,"MCKELVEY, B. C.",BASALT,,WEATHERED HEMICRYSTALLINE PORYPHYRITIC BASALT - FORMERLY GLASSY GRAINED,,,"VERY WEATHERED BASALT, DEPOSITIONAL CONTACT AT 72 CM", comments : ONE LARGE VESICLE,,,,,
26,254,,34,CC,0.0,309.50,309.60,  309.60,"MCKELVEY, B. C.",BASALT,,TWO PIECES OF HEMICRYSTALLINE PORYPHYRITIC BASALT,,"comments: FRESH, BUT POSSIBLY HAS REGIONS OF ALTERATION",CORE CATCHER RECOVERY ONLY,,,,,,
26,254,,35,1,40.0,310.00,310.40,  311.50,"MCKELVEY, B. C.",BASALT,,FINE GRAINED AT TOP OF SECTION WITH GRADATIONAL VARIATION IN GRAIN SIZE TO MEDIUM GRAINED AT BOTTOM OF SECTION,CALCITE VEIN AT 100 CM,,BROWNISH BLACK (5 YR 2/1),,,FELDSPAR comments : BROWNISH BLACK (5 YR 2/1) AND (N8) FELDSPARS IN GROUNDMASS,CALCITE comments :  CALCITE VEIN AT 100 CM,,
26,254,,35,2,0.0,310.00,311.50,  313.00,"MCKELVEY, B. C.",BASALT,,MEDIUM GRAINED,RARE VEINS OF CALCITE,comments: RELATIVELY FRESH BASALT,,,,FELDSPAR comments : FELDSPARS (N8) IN GROUNDMASS,,,
26,254,,35,3,0.0,310.00,313.00,  314.50,"MCKELVEY, B. C.",BASALT,,"MEDIUM GRAINED THROUGHOUT, WHOLE SECTION FRAGMENTED WITH FOUR 10 CM PIECES, AT 133 CM AMYGDALOIDAL FINE GRAINED BLACK AND POSSIBLY GLASSY",,,"AT 133 CM BLACK BASALT, CONTACT AT 133 CM NOT PRESERVED","                       CALCIUM CARB comments : AT 10 CM CALCIUM CARBONATE FILLED VESICLE, BETWEEN 133 CM AND 150 CM AMYGDALOIDAL BASALT WITH CALCIUM CARBONATE IN AMYGDULES",,,CARB comments :  IN VESICLES AND AMYGDULES,,
26,254,,35,CC,0.0,310.00,314.60,  314.60,"MCKELVEY, B. C.",BASALT,,,,,SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION,,,,,,
26,254,,36,1,29.0,315.00,315.29,  316.50,"MCKELVEY, B. C.",BASALT,,"FINE GRAINED (N2), DARK AMYGDALOIDAL BASALT",,,FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS,"                       CALCITE comments : DARK AMYGDALOIDAL BASALT, CALCITE AMYGDULES",,,,,
26,254,,36,2,0.0,315.00,316.50,  318.00,"MCKELVEY, B. C.",BASALT,,"FINE GRAINED AND GLASSY, AMYGDULES AT 140 CM AND COARSER",,,FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS,"1.5 comments : AMYGDALOIDAL BASALT WITH DENSITY OF AMYGDULES VARIES WITH NO OBVIOUS PATTERN, AMYGDULES UP TO 1.5 CM, AMYGDULES AT 140 CM AND BASALT COARSER",,,,,
26,254,,36,3,0.0,315.00,318.00,  319.50,"MCKELVEY, B. C.",BASALT,,"GLASSY IN TOP 10 CM, GRAIN SIZE DECREASES IN SECTION FOLLOWING 10 CM - FINER GRAINED BASALT AT BOTTOM OF SECTION AND COARSER GRAINED HIGHER IN SECTION",,,FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS,,,,,,
26,254,,36,CC,0.0,315.00,319.60,  319.60,"MCKELVEY, B. C.",BASALT,,,,,FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS,,,,,,
