Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Discolithina spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,A,  1,H, 1,  11.00,      0.1100,Firth    ,Nannofossils                                 ,A              ,G                 ,10                     ,1                         ,1                  ,0                    ,0                    ,0                 ,0                      ,0                       ,3                 ,0                    ,0                       ,34                   ,11                       ,231              ,1                ,0                    ,8                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,A,  1,H, 1,  44.00,      0.4400,Firth    ,Nannofossils                                 ,A              ,G                 ,9                      ,0                         ,0                  ,1                    ,0                    ,2                 ,0                      ,0                       ,1                 ,0                    ,0                       ,51                   ,33                       ,193              ,0                ,0                    ,11                    ,Total count = 301; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,A,  2,H, 3, 123.00,     13.0300,Firth    ,Nannofossils                                 ,A              ,G                 ,4                      ,0                         ,2                  ,0                    ,0                    ,2                 ,0                      ,0                       ,9                 ,0                    ,0                       ,55                   ,5                        ,215              ,1                ,0                    ,7                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,A,  2,H,CC,   7.00,     18.4100,Firth    ,Nannofossils                                 ,C              ,G                 ,4                      ,3                         ,0                  ,2                    ,0                    ,1                 ,0                      ,0                       ,1                 ,1                    ,2                       ,16                   ,48                       ,218              ,0                ,0                    ,4                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,A,  3,H, 6,  80.00,     26.6000,Firth    ,Nannofossils                                 ,C              ,G                 ,5                      ,1                         ,0                  ,1                    ,0                    ,2                 ,0                      ,0                       ,4                 ,0                    ,1                       ,51                   ,11                       ,214              ,0                ,0                    ,11                    ,Total count = 301; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
