Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globoturborotalita woodi,Globorotalia panda,Neogloboquadrina continuosa,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  1,H,CC,   7.00,      3.7100,Osterman ,Planktonic Foraminifers                      ,R              ,P                 ,2                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  2,H,CC,  18.00,     13.3200,Osterman ,Planktonic Foraminifers                      ,A              ,VG                ,A                                      ,R                                    ,                        ,                  ,                           ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  3,H,CC,  11.00,     23.0500,Osterman ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  5,H,CC,  29.00,     42.2500,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,+                                    ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  6,H,CC,  26.00,     51.7200,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  8,H,CC,  18.00,     70.4700,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B,  9,H,CC,  21.00,     80.0200,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 10,H,CC,  33.00,     88.4600,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,P                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 11,H,CC,   0.00,     98.6700,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 12,H,CC,  11.00,    108.1600,Osterman ,Planktonic Foraminifers                      ,A              ,VG                ,D                                      ,R                                    ,                        ,                  ,rR                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
