Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ventilabrella multicamerata	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudoguembelina excolata	Pseudoguembelina costulata	Heterohelix rajagopalani	Heterohelix carinata	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncanella havanensis	Globotruncana orientalis	Globotruncana mariei	Globotruncana linneiana	Globotruncana falsostuarti	Globotruncana bulloides	Globotruncana arca	Globotruncana aegyptiaca	Globigerinelloides subcarinatus	Gansserina wiedenmayeri	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Abathomphalus intermedius	Globotruncanella petaloidea	Rugotruncana subcircumnodifer	Rugoglobigerina rotundata	Gublerina cuvillieri	Abathomphalus mayaroensis	Racemiguembelina fructicosa	Pseudotextularia elegans	Pseudoguembelina hariaensis	Heterohelix globulosa	Hedbergella holmdelensis	Praemurica uncinata	Praemurica inconstans	Parasubbotina variospira	Parasubbotina varianta	Morozovella velascoensis	Morozovella subbotinae	Morozovella pasionensis	Morozovella occlusa	Morozovella aequa	Morozovella acuta	Acarinina soldadoensis	Acarinina mckannai	Morozovella formosa	Igorina broedermanni	Globigerinatheka senni	Acarinina quetra	Acarinina primitiva	Acarinina pentacamerata	Subbotina lozanoi	Morozovella caucasica	Morozovella aragonensis	Subbotina eocaena	Globigerinatheka subconglobata	Globigerina cryptomphala	Acarinina bullbrooki	Turborotalia ampliapertura	Subbotina linaperta	Subbotina angiporoides	Hantkenina sp.	Catapsydrax unicavus	Tenuitella gemma	Globoquadrina tripartita	Globoquadrina baroemoenensis	Globigerina euapertura	Catapsydrax dissimilis	Paragloborotalia nana	Globorotaloides suteri	Globoquadrina venezuelana	Globoquadrina rohri	Globigerina praebulloides	Globigerina officinalis	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis	Globoturborotalita nepenthes	Globorotalia tumida	Globorotalia menardii	Globorotalia margaritae	Globorotalia challengeri	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerina bulloides	Dentoglobigerina altispira	Truncorotalia crassaformis	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia puncticulata	Globigerinoides sacculifer	Sphaeroidinella dehiscens s.l.	Globorotalia inflata	Globorotalia crassula	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Pulleniatina obliquiloculata	Globigerinoides ruber	Comment



  IR	                 	Pleistocene      	N22               	N22           	198	1211	B	  1	H	CC	  20.00	      6.1000	planks   	Planktonic Foraminifers                      	A              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	R                	F                         	                            	                            	R                  	                     	                       	                        	                        	                        	                           	F                    	                          	A                         	F                                    	                    	                         	R                         	                              	A                   	                     	R                             	R                      	R                           	R                    	few rads; abund foram frags

  IR	                 	Pleistocene      	N22               	N22           	198	1211	B	  2	H	CC	  18.00	     15.9400	planks   	Planktonic Foraminifers                      	A              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	+                               	                              	R                	                          	                            	                            	R                  	                     	                       	                        	R                       	                        	R                          	F                    	                          	F                         	F                                    	R                   	                         	                          	R                             	A                   	                     	R                             	R                      	R                           	                     	few rads; abund foram frags

  IR	                 	Late Pliocene    	N21               	N21           	198	1211	B	  3	H	CC	  17.00	     25.4800	planks   	Planktonic Foraminifers                      	F              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	+                               	                              	R                	                          	                            	                            	R                  	                     	                       	                        	R                       	R                       	R                          	F                    	                          	                          	                                     	                    	R                        	                          	R                             	R                   	R                    	                              	                       	                            	                     	       

  IR	Late Pliocene    	Early Pliocene   	N21               	N19-N20       	198	1211	B	  4	H	CC	  15.00	     34.8000	planks   	Planktonic Foraminifers                      	F              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	R                               	R                             	R                	R                         	                            	                            	R                  	R                    	                       	                        	R                       	R                       	R                          	R                    	R                         	R                         	R                                    	R                   	R                        	A                         	                              	                    	                     	                              	                       	                            	                     	       
