Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globigerina quinqueloba,Globigerina bulloides,Neogloboquadrina asanoi,Globigerinita glutinata,Planktonic spp. indeterminate,Morozovella aragonensis,Catapsydrax sp.,Orbulina universa,Globorotalia crassaformis,Globigerinita uvula,Globigerina umbilicata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD8               ,CD1-7         ,146, 892,D,  1,X, 1,   7.00,      0.0700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,3                                      ,36                                   ,                          ,                       ,26                   ,4                      ,                       ,                             ,                       ,               ,                 ,                         ,                   ,1                     ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD8               ,CD1-7         ,146, 892,D,  2,X, 1,   1.00,      8.5100,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,10                                     ,303                                  ,                          ,5                      ,129                  ,                       ,1                      ,27                           ,                       ,               ,                 ,                         ,2                  ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD8               ,CD1-7         ,146, 892,D,  2,X,CC,   7.00,     11.7100,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,17                                     ,67                                   ,                          ,3                      ,39                   ,15                     ,                       ,1                            ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD13              ,CD11          ,146, 892,D,  3,X,CC,   0.00,     18.7800,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,52                                   ,                          ,1                      ,30                   ,3                      ,                       ,                             ,                       ,               ,                 ,                         ,1                  ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  4,X,CC,  37.00,     31.2700,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,3                                      ,15                                   ,                          ,                       ,16                   ,1                      ,                       ,                             ,                       ,               ,1                ,1                        ,1                  ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  5,X, 1,  17.00,     37.1700,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,5                                      ,29                                   ,                          ,                       ,42                   ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
