Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira leptopus,Thalassiosira antiqua,Thalassionema nitzschioides,Rouxia californica,Rhizosolenia styliformis,Neodenticula kamtschatica,Delphineis spp.,Coscinodiscus spp. (large forms),Coscinodiscus marginatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Paralia sulcata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia aff. rolandii,Denticulopsis hustedtii,Thalassiosira aff. antiqua,Stephanopyxis dimorpha,Pseudoeunotia doliolus,Nitzschia fossilis,Neodenticula seminae,Freshwater diatoms,Simonseniella barboi,Actinocyclus ingens,Thalassiosira oestrupii,Neodenticula seminae-koizumii (undiffer.),Actinocyclus curvatulus,Thalassiosira spp.,Stephanopyxis spp.,Neodenticula koizumii,Hemidiscus cuneiformis,Azpeitia nodulifera,Proboscia alata,Thalassiosira aff. oestrupii,Thalassiosira aff. nativa,Nitzschia marina,Neodenticula aff. kamschatica,Crucidenticula sp.,Thalassiosira aff. jacksonii,Thalassiosira convexa var. aspinosa,Thalassiosira nativa,Thalassiosira minutissima,Thalassionema schraderi,Synedra jouseana,Rouxia fusiformis,Nitzschia cylindrica,Denticulopsis spp.,Denticulopsis dimorpha,Thalassiosira miocenica,Thalassiosira yabei,Thalassiosira grunowii,Simonseniella praebarboi,Rhizosolenia miocenica,Denticulopsis praedimorpha,Thalassiosira temperei,Lithodesmium californicum,Denticulopsis katayamae,Thalassiosira brunii,Lithodesmium cornigerum,Thalassiosira multipora,Simonseniella curvirostris,Thalassiosira jouseae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,146, 892,D,  2,X, 1,   6.00,      8.5600,Fourtanier,Diatoms                                      ,C              ,MG                ,R                        ,                      ,                     ,F                          ,r                 ,R                       ,                         ,F              ,R                               ,                        ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,F                     ,                      ,                  ,C                   ,R                 ,                    ,                   ,R                      ,                                         ,R                      ,F                 ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,R                      ,                          ,R                    ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,146, 892,D,  2,X, 2,   6.00,     10.0600,Fourtanier,Diatoms                                      ,C              ,MG                ,R                        ,                      ,                     ,F                          ,                  ,                        ,                         ,F              ,R                               ,F                       ,A                                ,R                     ,               ,                    ,                        ,                       ,                       ,                          ,F                     ,                      ,                  ,R                   ,R                 ,R                   ,                   ,R                      ,                                         ,                       ,F                 ,                  ,                     ,R                     ,                   ,R              ,                            ,                         ,R               ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,R                         ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D,  3,X, 1,   5.00,     18.0500,Fourtanier,Diatoms                                      ,C              ,MG                ,R                        ,                      ,                     ,C                          ,                  ,R                       ,                         ,R              ,R                               ,                        ,A                                ,R                     ,               ,                    ,                        ,                       ,r                      ,                          ,F                     ,                      ,                  ,R                   ,F                 ,R                   ,                   ,                       ,                                         ,R                      ,F                 ,                  ,                     ,                      ,                   ,R              ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,R                      ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D,  4,X, 1,  29.00,     27.7900,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,R                    ,F                          ,r                 ,R                       ,R                        ,R              ,R                               ,                        ,A                                ,                      ,R              ,                    ,                        ,                       ,                       ,R                         ,R                     ,                      ,                  ,F                   ,R                 ,R                   ,                   ,R                      ,                                         ,R                      ,F                 ,                  ,                     ,                      ,                   ,               ,                            ,                         ,R               ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,R                      ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
