Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Fohsella robusta,Orbulina suturalis,Sphaeroidinellopsis seminulina,Globorotalia plesiotumida,Dentoglobigerina altispira,Globorotalia tumida,Globigerinoides extremus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,Pl1a              ,M13b          ,194,1197,B,  3,R, 1,   0.00,     69.2000,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                              ,F                        ,F                         ,                   ,R                       ,N17-N18. No Sa dehisc.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,Pl1a              ,M13b          ,194,1197,B,  5,R, 1,   0.00,     88.5000,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,                ,                  ,                              ,R                        ,F                         ,F                  ,                        ,N17-N18.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,Pl1a              ,M13           ,194,1197,B,  8,R, 1,   0.00,    117.4000,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                ,                  ,                              ,P                        ,R                         ,                   ,                        ,N16-N18. G.apertura/baroe present.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,Pl1a              ,M13b          ,194,1197,B, 11,R, 1,   0.00,    146.2000,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                ,                  ,                              ,P                        ,P                         ,                   ,                        ,N17b-N18. Gds.bulloideus/baroe pres.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,Pl1a              ,M13b          ,194,1197,B, 13,R, 1,   0.00,    165.4000,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,                ,                  ,P                             ,P                        ,                          ,                   ,                        ,N17-N18. Gds.bulloideus/D.globosa/baroe pres.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,M10               ,M9a           ,194,1197,B, 15,R, 1,   1.00,    184.6100,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                ,F                 ,                              ,                         ,                          ,                   ,                        ,N12-N13? Fohsella sp multiple pres.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,M12               ,M9b           ,194,1197,B, 15,R, 1,  43.00,    185.0300,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,P               ,                  ,                              ,                         ,                          ,                   ,                        ,N13-N14. J.siakensis present.
,,,,,,,,,,,,,,,,,,,,,,,,
