Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Haplophragmoides spp.,Cyclammina spp.,Unidentified benthic forams,Cribrostomoides spp.,Saccorhiza spp.,Discammina spp.,Globocassidulina subglobosa,Bathysiphon spp.,Cibicidoides spp.,Uvigerina hispida,Ostracoda spp.,Hoeglundina elegans,Globobulimina spp.,Unilocular species,Trifarina angulosa,Lenticulina spp.,Dentalina spp.,Bulimina marginata,Pullenia spp.,Vulvulina spp.,Plectofrondicularia spp.,Quinqueloculina spp.,Gyroidinoides spp.,Triloculina spp.,Reophax spp.,Pyrgo spp.,Pullenia bulloides,Pleurostomella spp.,Osangularia culter,Oridorsalis umbonatus,Nummoloculina spp.,Miliolinella subrotundata,Uvigerina peregrina,Textularia spp.,Stilostomella spp.,Spirillina spp.,Sphaeroidina bulloides,Saracenaria spp.,Nonion spp.,Hanzawaia mantaensis,Dorothia spp.,Buliminella spp.,Bolivina spp.,Spiroloculina spp.,Karreriella bradyi,Eggerella bradyi,Nuttallides umbonifera,Nonionella spp.,Bulimina alazanensis,Laticarinina pauperata,Astacolus spp.,Sigmoilina tenuis,Notorotalia zelandica,Nodosaria spp.,Fontbotia wuellerstorfi,Cibicides lobatulus,Ceratobulimina spp.,Orthomorphina spp.,Nonionellina spp.,Parrelloides bradyi,Chilostomella oolina,Anomalinoides globulosus,Cassidulina spp.,Astrononion spp.,Globobulimina ovata,Epistominella exigua,Siphonina australis,Robertinoides spp.,Cassidulinoides spp.,Siphotextularia catenata,Melonis barleeanus,Marginulinopsis spp.,Bulimina aculeata,Pyrulina spp.,Polymorphina spp.,Cibicidoides mundulus,Gyroidina zealandica,Gyroidina orbicularis,Uvigerina hispidocostata,Rectuvigerina spp.,Inaequalina spp.,Hopkinsina mioindex,Anomalinoides spissiformis,Ehrenbergina spp.,Martinottiella communis,Rectuvigerina siphogenerinoides,Bolboforma capsula,Melonis pompilioides,Sigmoilopsis schlumbergeri,Bolivina huneri,Pseudoclavulina spp.,Bulimina mexicana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  1,H,CC,  22.00,      7.2400,benthics ,Benthic Foraminifers                         ,A              ,P                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,                 ,C                ,R             ,                   ,                  ,                  ,                  ,R               ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,                     ,                  ,                         ,C                  ,               ,F                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,rT                   ,              ,R                      ,rT                 ,                   ,                  ,                 ,                   ,                    ,                        ,T               ,                ,R                  ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,C                ,             ,                 ,                     ,R                   ,                     ,                        ,                  ,                ,                   ,                          ,                 ,R                      ,                               ,                  ,                    ,F                         ,               ,                    ,C                ,"B/P: 1/10, high organic carbon flux, spicules, reworking"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  2,H,CC,   9.00,     17.0000,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,                 ,                 ,R             ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,R                    ,                  ,                         ,                   ,               ,                  ,               ,                      ,                ,           ,                    ,             ,                ,R            ,                  ,                  ,                ,                      ,               ,F                   ,                      ,              ,                 ,                     ,              ,                       ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,C                ,             ,                 ,                     ,R                   ,                     ,                        ,                  ,                ,                   ,                          ,                 ,R                      ,                               ,                  ,                    ,R                         ,R              ,                    ,C                ,"B/P: 1/20, numerous spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  3,H,CC,  29.00,     26.7100,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,                           ,                    ,               ,               ,R                          ,                ,                 ,                 ,R             ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,R                 ,                   ,                  ,F                    ,                  ,                         ,C                  ,               ,F                 ,               ,R                     ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,rT                   ,              ,                       ,                   ,                   ,                  ,                 ,                   ,R                   ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,                     ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,C                         ,               ,                    ,                 ,"B/P: 1/20, bryozoans"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  4,H,CC,   0.00,     35.7500,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,T                          ,                    ,               ,               ,                           ,                ,                 ,C                ,T             ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,T                   ,T                 ,R               ,            ,          ,F                 ,                   ,                  ,F                    ,                  ,                         ,                   ,               ,R                 ,               ,T                     ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,                     ,              ,T                      ,                   ,                   ,                  ,                 ,                   ,                    ,T                       ,                ,                ,                   ,T                   ,                   ,                  ,                    ,                        ,F                 ,                    ,                 ,             ,                 ,                     ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,R                         ,               ,                    ,                 ,"B/P: 1/90, strong fragmentation, high org. carbon, mod.-low oxygen"
