Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina angiporoides,Paragloborotalia nana,Globorotaloides suteri,Globigerinatheka index,Globigerina officinalis,Tenuitellinata insolita,Subbotina brevis,Catapsydrax dissimilis,Tenuitella gemma,Dentoglobigerina globularis,Chiloguembelina cubensis,Catapsydrax unicavus,Turborotalia euapertura,Paragloborotalia semivera,Paragloborotalia continuosa,Globoturborotalita woodi,Globoquadrina dehiscens,Globigerina praebulloides,Globigerina bulloides,Dentoglobigerina baroemoenensis,Globoturborotalita connecta,Globoturborotalita brazieri,Globigerinoides immaturus,Globigerinita glutinata,Globigerina ciperoensis,Globorotalia praescitula,Globorotalia incognita,Globorotalia zealandica,Globorotalia miozea,Globorotalia conoidea,Globigerinoides trilobus,Globigerinella obesa,Sphaeroidinellopsis paenedehiscens,Praeorbulina sicana,Globigerinita uvula,Praeorbulina curva,Orbulina suturalis,Praeorbulina transitoria,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia panda,Globigerinoides diminutus,Paragloborotalia mayeri,Globorotalia scitula,Globigerinella pseudobesa,Paragloborotalia nympha,Globoturborotalita druryi,Globigerinoides obliquus,Orbulina universa,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globigerina quinqueloba,Globoturborotalita apertura,Globorotalia pliozea,Globigerina falconensis,Neogloboquadrina pachyderma (sinistral),Globorotalia inflata,Globorotalia explicationis,Globorotalia conomiozea,Globigerinella aequilateralis,Tenuitellinata angustiumbilicata,Globorotalia sphericomiozea,Globorotalia crassula,Globigerinoides kennetti,Globorotalia crassaformis,Globorotalia crassaconica,Globorotalia puncticulata,Globorotalia hirsuta,Globigerinoides elongatus,Globorotalia margaritae,Globorotalia ungulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,A,  1,H,CC,  22.00,      7.2400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,R                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,R                   ,                         ,                       ,                         ,                        ,F                ,                            ,                              ,                       ,                           ,                    ,+                      ,F                                      ,A                   ,                          ,                       ,+                            ,                                ,                           ,+                    ,                        ,P                        ,+                        ,+                        ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,A,  2,H,CC,   9.00,     17.0000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,+                      ,+                                      ,+                   ,                          ,                       ,+                            ,                                ,                           ,+                    ,                        ,+                        ,+                        ,+                        ,                    ,+                        ,+                      ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,A,  3,H,CC,  29.00,     26.7100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,+                   ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,+                      ,                                       ,+                   ,                          ,                       ,+                            ,                                ,                           ,                     ,                        ,+                        ,+                        ,+                        ,                    ,                         ,+                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,A,  4,H,CC,   0.00,     35.7500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,+                      ,+                                      ,+                   ,                          ,                       ,+                            ,                                ,                           ,+                    ,                        ,+                        ,+                        ,+                        ,                    ,                         ,+                      ,                     ,       
