leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
78,543,,LOWER PLEISTOCENE,,8.0,38.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
78,543,,UPPER PLIOCENE,,38.0,67.5,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
78,543,,LOWER PLIOCENE,,67.5,75.5,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
78,543,,LOWER PLIOCENE,UPPER MIOCENE,75.5,104.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
78,543,,MIDDLE MIOCENE,,161.0,170.5,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
78,543,,LOWER MIOCENE,,170.5,218.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
78,543,,LOWER MIOCENE,UPPER OLIGOCENE,218.0,227.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
78,543,,OLIGOCENE,,227.5,260.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
78,543,,UPPER EOCENE,,260.0,284.5,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
78,543,,LOWER EOCENE,,284.5,324.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
