Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis subdehiscens,Sphaeroidinella dehiscens,Orbulina universa,Globorotalia margaritae margaritae,Globorotalia margaritae evoluta,Globorotalia cibaoensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella obesa,Globigerinella aequilateralis,Globigerina decoraperta,Globigerina nepenthes,Globoquadrina venezuelana,Globorotalia crassula,Globorotalia pseudomiocenica,Globorotalia merotumida,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Globorotalia plesiotumida,Globorotalia menardii,Globorotalia crassaformis crassaformis,Globorotalia limbata,Globorotalia crassaformis ronda,Neogloboquadrina acostaensis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. incisa,Globorotalia crassaformis oceanica,Globigerinita glutinata,Globigerina falconensis,Orbulina bilobata,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Candeina nitida,Globorotalia cf. crassaformis viola,Globorotalia cf. Gr. multicamerata,Globorotalia cf. Gr. cibaoensis,Globorotalia multicamerata,Globigerina rubescens,Globorotalia miocenica,Globorotalia cf. Gr. conoidea,Globorotalia scitula,Globorotalia exilis,Globorotalia crassaformis viola,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globorotalia inflata,Neogloboquadrina continuosa,Neogloboquadrina incompta,Globorotalia ungulata,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 631,A,  1,H, 3,  25.00,      3.2500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                         ,C                ,                                  ,                               ,                       ,                                 ,                        ,C                    ,F                            ,F                        ,                        ,F                          ,F                   ,F                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,R                      ,T                      ,                 ,                            ,R                         ,               ,                                   ,                                  ,                               ,                          ,F                    ,                      ,                             ,T                   ,                   ,                               ,F                            ,R                              ,                            ,R                   ,T                          ,R                        ,T                    ,T                  ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. hessi       ,              ,101, 631,A,  1,H,CC,  18.00,      9.6800,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                         ,F                ,                                  ,                               ,                       ,r                                ,                        ,C                    ,F                            ,F                        ,                        ,F                          ,F                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,R                      ,                       ,                 ,                            ,R                         ,               ,                                   ,                                  ,                               ,                          ,F                    ,                      ,                             ,                    ,                   ,                               ,C                            ,R                              ,                            ,R                   ,T                          ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. hessi       ,              ,101, 631,A,  2,H, 3,  25.00,     12.9500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,                        ,F                    ,R                            ,F                        ,                        ,F                          ,F                   ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,R                    ,R                                     ,                    ,R                              ,                            ,                                 ,                      ,                                  ,F                      ,                       ,                 ,                            ,F                         ,               ,                                   ,                                  ,                               ,                          ,F                    ,                      ,                             ,                    ,                   ,                               ,C                            ,R                              ,T                           ,R                   ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. hessi       ,              ,101, 631,A,  2,H,CC,   6.00,     19.6700,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,                        ,C                    ,R                            ,F                        ,                        ,F                          ,R                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,R                      ,                       ,                 ,                            ,F                         ,               ,                                   ,                                  ,                               ,                          ,R                    ,                      ,                             ,                    ,                   ,                               ,C                            ,R                              ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
