Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Cyclicargolithus floridanus,Umbilicosphaera sibogae,Rhabdosphaera procera,Dictyococcites antarcticus,Cyclicargolithus abisectus,Coccolithus pelagicus,Calcidiscus macintyrei,Helicosphaera carteri,Braarudosphaera bigelowii,Calcidiscus leptoporus,Small Gephyrocapsa spp.,Scyphosphaera spp.,Reticulofenestra minuta,Rhabdosphaera clavigera,Gephyrocapsa caribbeanica,Pontosphaera pachymorpha,Pontosphaera japonica,Pseudoemiliania lacunosa,Gephyrocapsa aperta,Dictyococcites sp.,Helicosphaera kamptneri,Syracosphaera pulchra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  1,R,CC,   6.00,    282.3300,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                           ,                       ,                     ,A                         ,                          ,                     ,                      ,                     ,                         ,                      ,                       ,                  ,                       ,R                      ,F                        ,                        ,                     ,R                       ,A                  ,                  ,                       ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  2,R,CC,   8.00,    290.5700,Ladner   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,A                         ,                          ,                     ,                      ,                     ,                         ,F                     ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,A                  ,                  ,                       ,F                    ,Overgrowths and dissolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  3,R, 1,  42.00,    373.6200,Ladner   ,Nannofossils                                 ,R              ,P                 ,                       ,                          ,                           ,                       ,                     ,R                         ,                          ,                     ,                      ,                     ,                         ,                      ,                       ,                  ,                       ,                       ,R                        ,                        ,                     ,R                       ,R                  ,                  ,                       ,                     ,Dissolution and heavy overgrowths
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  4,R,CC,   0.00,    383.1900,Ladner   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,C                         ,                          ,                     ,F                     ,                     ,                         ,F                     ,                       ,                  ,                       ,F                      ,                         ,                        ,                     ,R                       ,C                  ,                  ,R                      ,                     ,"Some dissolution and overgrowths, not as severe as previous"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
