Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalmannammina conglobata  	Rhabdammina sp.	Reophax sp.	Stilostomella spp.	Pleurostomella spp.	Oridorsalis umbonatus	Saitoella globosa             	Fissurina spp.	Cibicidoides spp.	Pullenia bulloides	Globocassidulina spp.	Bolivina spp.	Sphaeroidina bulloides	Pyrgo murrhina	Cibicidoides wuellerstorfi	Cibicidoides renzi	Lenticulina spp.	Bulimina rostrata	Uvigerina sp. A	Melonis barleeanus	Martinottiella spp.	Sigmoilopsis schlumbergeri	Hoeglundina elegans	Uvigerina senticosa	Uvigerina hispidocostata	Uvigerina hispida	Bulimina striata	Amphicoryna scalaris	Globobulimina affinis	Bolivinita quadrilatera	Chilostomella oolina	Comment



  SR	                 	                 	                  	              	126	 792	E	  1	R	 1	  11.00	    135.7100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	C                 	R                  	F                    	                              	R             	                 	                  	                     	             	R                     	F             	                          	                  	R               	                 	               	R                 	                   	R                         	                   	                   	C                       	                 	                	F                   	                     	                       	R                   	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  2	R	 1	  13.00	    145.3300	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	C                 	C                  	R                    	                              	              	                 	F                 	F                    	             	                      	F             	                          	                  	                	                 	               	                  	                   	F                         	                   	R                  	F                       	                 	                	                    	                     	R                      	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  3	R	 1	  64.00	    155.4400	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	A                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	R                  	                        	                 	                	F                   	                     	R                      	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  3	R	CC	  11.00	    157.5900	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	A                 	F                  	                     	                              	              	                 	R                 	R                    	             	                      	              	                          	                  	C               	R                	               	R                 	                   	F                         	                   	F                  	C                       	                 	R               	F                   	                     	R                      	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  4	R	 1	   9.00	    164.5900	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	A                 	F                  	C                    	                              	              	                 	                  	                     	             	                      	R             	                          	                  	                	                 	               	R                 	                   	R                         	                   	F                  	                        	                 	                	C                   	R                    	C                      	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  4	R	CC	  20.00	    167.7000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	R                  	                     	                              	              	                 	R                 	R                    	             	                      	              	                          	                  	R               	                 	               	                  	                   	R                         	                   	                   	                        	                 	R               	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

