Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina inaequispira	Igorina broedermanni	Globorotaloides carcoselleensis	Acarinina bullbrooki	Subbotina utilisindex	Subbotina angiporoides minima	Planorotalites pseudoscitulus	Globigerinatheka micra	Globigerinatheka index	Acarinina rugosoaculeata	Acarinina pentacamerata	Turborotalia boweri	Subbotina angiporoides	Morozovella aragonensis	Chiloguembelina sp.	Acarinina primitiva	Turborotalia praecentralis	Tenuitella gemma	Subbotina hornibrooki	Dentoglobigerina galavisi	Turborotalia pseudomayeri	Turborotalia griffinae	Truncorotaloides topilensis	Truncorotaloides rohri	Morozovella lehneri	Hantkenina sp.	Globigerinatheka subconglobata	Catapsydrax unicavus	Acarinina matthewsae	Zeaglobigerina ampliapertura	Turborotalia pomeroli	Turborotalia cerroazulensis	Hantkenina longispina	Acarinina pseudotopilensis	Globigerina venezuelana	Subbotina eocaena	Pseudohastigerina micra	Globigerinatheka luterbacheri	Chiloguembelina cubensis	Turborotalia pseudoampliapertura	Subbotina linaperta	Globigerinatheka semiinvoluta	Subbotina praeturritilina	Comment



  SR	                 	                 	P10               	P12           	160	 966	F	 26	R	 2	   1.00	    299.0700	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	                    	                     	                             	                             	                      	                      	                        	+                      	                   	                      	                       	                   	                   	                          	                	                     	                         	                         	+                     	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	+                	                       	                             	                        	                                	                   	                             	+                        	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 26	R	 4	  41.00	    302.2600	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	                             	+                     	                      	                        	+                      	+                  	                      	                       	                   	+                  	                          	                	                     	                         	                         	+                     	                           	                      	                   	              	                              	+                   	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	+                               	+                  	+                            	                         	from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 27	R	 1	  74.00	    308.6400	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	                             	+                     	+                     	+                       	+                      	+                  	                      	                       	+                  	                   	                          	+               	                     	+                        	                         	+                     	                           	                      	+                  	+             	                              	                    	+                   	                            	                     	                           	                     	+                         	+                      	                 	+                      	+                            	+                       	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 27	R	 4	  60.00	    312.6100	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	+                            	+                            	                      	+                     	                        	+                      	                   	                      	                       	                   	                   	                          	                	+                    	                         	                         	+                     	                           	                      	                   	              	+                             	                    	                    	                            	+                    	                           	                     	+                         	                       	                 	+                      	                             	                        	                                	                   	                             	                         	R reworking. from Leg 160SR Ch 30 Table 1

