Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Siphonina reticulata,Pullenia spp.*,Pleurostomella spp.*,Ortomorphina jedlitskai,Oridorsalis stellatus,Gyroidinoides gr  soldanii*,Cibicides spp.,Brizalina cf. paralica,Rosalina spp.,Melonis spp.,Gyroidinoides laevigatus,Ammonia tepida,Uvigerina spp.,Uvigerina pygmaea-peregrina,Planulina ariminensis,Oridorsalis umbonatus,Oridorsalis spp.,Globocassidulina subglobosa,Epistominella exigua,Cibicidoides ungerianus,Cibicidoides pseudoungerianus,Brizalina-Bolivina gr.*,Pyramidulina stainforthi,Cibicidoides italicus,Trifarina bradyi,Lenticulina spp.*,Fissurina spp.,Dentalina filiformis,Chrysalogonium spp.,Astacolus cf. ovatus,Marginulina spp.,Bulimina spp.,Lenticulina inornata,Anomalinoides spp.,Stilostomella spp.,Hanzawaia boueana,Astrononion stelligerum,Anomalinoides alazanensis,Amphicoryna spp.,Fursenkoina squammosa,Pandaglandulina dinapolii,Nodosaria spp.,Dimorphina tuberosa,Sigmoilinita tenuis,Rectuvigerina gaudryinoides,Ortomorphina spp.*,Martinottiella spp.,Lenticulina rotulata,Gyroidinoides spp.,Alliatinella sp.,Karreriella bradyi,Bigenerina nodosaria,Spiroplectammina spp.*,Oolina spp.,Ellipsoidina ellipsoides,Eggerella bradyi,Dentalina leguminiformis,Quadrimorphina allomorphinoides,Dentalina spp.*,Nonion gr.*,Sphaeroidina bulloides,Saracenaria italica,Lagena spp.,Elphidium spp.,Discorbinella bertheloti,Cibicidoides spp.,Cassidulina spp.*,Valvulineria cf. bradyiana,Alabamina wilcoxensis,Sigmoilopsis spp.,Asterigerina planorbis,Textularia spp.,Plectofrondicularia tenuissima,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6, 126.00,    301.5600,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.8%          ,1.2%                ,.6%                    ,10.6%                ,7.1%                       ,10.0%         ,                      ,             ,            ,5.3%                    ,              ,              ,14.1%                      ,                     ,1.2%                 ,.6%             ,14.1%                      ,                    ,1.2%                   ,                             ,2.4%                   ,                        ,                     ,                ,                 ,.6%           ,                    ,                   ,1.2%                ,                ,1.8%         ,                    ,                  ,.6%               ,                 ,3.5%                   ,1.8%                     ,1.2%            ,                     ,                         ,              ,                   ,3.5%               ,                           ,                  ,                   ,1.2%                ,                  ,                ,3.5%              ,.6%                 ,.6%                   ,.6%        ,                        ,                ,                        ,1.8%                           ,.6%            ,4.1%       ,                      ,                   ,           ,.6%           ,                        ,                 ,                 ,.6%                       ,                     ,                 ,1.8%                  ,               ,                              ,total count=170 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6, 144.00,    301.7400,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,.4%           ,5.2%                ,2.9%                   ,10.2%                ,8.8%                       ,6.3%          ,                      ,             ,.2%         ,2.1%                    ,              ,.2%           ,7.5%                       ,                     ,.6%                  ,.6%             ,19.6%                      ,                    ,1.3%                   ,.8%                          ,2.9%                   ,                        ,                     ,                ,                 ,.4%           ,.6%                 ,1.0%               ,                    ,                ,.4%          ,.8%                 ,                  ,.4%               ,                 ,1.7%                   ,6.0%                     ,.4%             ,                     ,                         ,              ,                   ,.2%                ,                           ,                  ,.2%                ,.8%                 ,.8%               ,                ,6.3%              ,.8%                 ,1.3%                  ,.8%        ,.2%                     ,                ,                        ,1.0%                           ,.2%            ,2.9%       ,.4%                   ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,.6%              ,                      ,               ,.2%                           ,0.2% indet. specimens; total count=480 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 7,  15.00,    301.9500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,5.4%                ,1.1%                   ,10.8%                ,7.5%                       ,2.2%          ,                      ,             ,            ,5.4%                    ,              ,              ,12.9%                      ,                     ,5.4%                 ,                ,7.5%                       ,                    ,1.1%                   ,                             ,                       ,                        ,                     ,                ,                 ,              ,1.1%                ,1.1%               ,                    ,                ,             ,                    ,                  ,                  ,                 ,1.1%                   ,1.1%                     ,                ,                     ,                         ,              ,                   ,1.1%               ,                           ,                  ,4.3%               ,1.1%                ,                  ,                ,7.5%              ,10.8%               ,1.1%                  ,           ,                        ,                ,                        ,2.2%                           ,2.2%           ,1.1%       ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,1.1%             ,                      ,               ,                              ,4.3% indet. specimens; total count=93 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 7,  35.00,    302.1500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,1.8%                ,2.5%                   ,8.6%                 ,16.0%                      ,4.3%          ,                      ,             ,            ,                        ,              ,9.2%          ,                           ,                     ,4.3%                 ,                ,7.4%                       ,                    ,3.1%                   ,                             ,8.6%                   ,                        ,                     ,1.2%            ,1.8%             ,1.8%          ,                    ,                   ,                    ,.6%             ,             ,                    ,2.5%              ,1.8%              ,                 ,4.9%                   ,                         ,                ,                     ,                         ,              ,                   ,1.2%               ,                           ,                  ,1.8%               ,                    ,                  ,                ,4.9%              ,1.2%                ,                      ,           ,                        ,                ,                        ,                               ,2.5%           ,4.3%       ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,3.1%             ,                      ,.6%            ,                              ,total count=163 ben. forams; from 161SR Ch.15 Appendix D
