Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xiphophoridium alatum	Xenascus plotei	Trichodinium castanea	Subtilisphaera? habibi	Spiniferites ramosus ramosus	Spiniferites multibrevis	Pervosphaeridium truncatum	Pervosphaeridium paucispinum	Oligosphaeridium pulcherrimum	Oligosphaeridium complex	Oligosphaeridium ?asterigerum	Odontochitina operculata	Odontochitina costata	Kiokansium williamsii	Dinopterygium cladoides	Dinoflagellate Forma A	Cyclonephelium paucispinum	Cyclonephelium distinctum distinctum	Coronifera oceanica	Cometodinium whitei	Chlamydophorella nyei	Cepadinium? sp. BAHA	Tanyosphaeridium variecalamus	Protoellipsodinium conulum	Maghrebinia chleuh	Hystrichosphaeridium bowerbankii	Florentinia resex	Florentinia mantellii	Florentinia laciniata laciniata	Dapsilidinium laminaspinosum	Cyclonephelium distinctum longispinatum	Cyclonephelium chabaca	Compositosphaeridium? bahamaensis	Chlamydophorella discreta	Achomosphaera triangulata	Achomosphaera ramulifera	Maghrebinia perforata mirabilia	Pterodinium cf. campanula	Maghrebinia perforata perforata	Maghrebinia breviornata	Litosphaeridium sp. BAHA	Litosphaeridium siphoniphorum	Litosphaeridium arundum	Dapsilidinium duma	Cyclonephelium hystrix	Cribroperidinium intricatum	Coronifera striolata	Callaoisphaeridium asymmetricum	Achomosphaera sagena	Hystrichodinium pulchrum densispinum	Florentinia radiculata	Cyclonephelium compactum	Pterodinium cingulatum cingulatum	Leberidocysta chlamydata	Epelidosphaeridia spinosa	Florentinia  clavigera	Kleithriasphaeridium loffrense	Spiniferites cf. wetzelii	Senoniasphaera cf. rotundata	Heterosphaeridium heteracanthum	Dinogymnium microgranulosum	Dinoflagellate Forma B	Cassiculosphaeridia reticulata	Aldorfia deflandrei	Florentinia deanei	Angustidinium acribes	Hystrichostrogylon membraniphorum	Comment



  SR	Cenomanian       	                 	                  	              	101	 627	B	 38	X	 1	  50.00	    354.0000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	                     	A                     	R                           	R                       	R                         	                            	                             	R                       	                             	                        	R                    	                     	                       	                      	                          	                                    	                   	                   	                     	                    	R                            	                          	R                 	                                	                 	                     	R                              	                            	                                       	R                     	R                                	                         	                         	                        	R                              	                         	                               	                       	                        	R                            	                       	                  	                      	R                          	                    	                               	                    	                                    	                      	                        	                                 	                        	R                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 38	X	 2	  50.00	    355.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	               	R                    	A                     	                            	                        	R                         	                            	                             	                        	                             	                        	                     	                     	R                      	                      	                          	                                    	                   	                   	                     	                    	                             	                          	R                 	                                	                 	                     	R                              	                            	                                       	R                     	F                                	                         	R                        	                        	                               	                         	                               	                       	                        	R                            	                       	                  	                      	                           	                    	                               	R                   	                                    	                      	                        	R                                	                        	R                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	R                 	                     	R                                	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 38	X	 3	  50.00	    357.0000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	R                    	A                     	R                           	                        	F                         	R                           	                             	R                       	                             	R                       	                     	                     	R                      	                      	                          	R                                   	R                  	                   	                     	                    	R                            	                          	R                 	                                	R                	R                    	R                              	                            	R                                      	R                     	F                                	R                        	R                        	R                       	                               	                         	                               	R                      	                        	R                            	                       	                  	R                     	                           	R                   	R                              	                    	                                    	R                     	                        	                                 	                        	R                        	                      	                              	                         	                            	R                              	                           	                      	R                             	R                  	R                 	R                    	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 38	X	 4	  50.00	    358.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	R                    	A                     	R                           	R                       	R                         	R                           	                             	                        	                             	                        	R                    	                     	                       	                      	                          	R                                   	R                  	R                  	R                    	                    	R                            	R                         	                  	                                	                 	R                    	R                              	                            	                                       	R                     	                                 	R                        	                         	R                       	                               	                         	R                              	R                      	                        	                             	                       	                  	                      	                           	R                   	                               	                    	                                    	                      	R                       	                                 	                        	F                        	                      	R                             	R                        	R                           	R                              	R                          	R                     	R                             	R                  	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123
