Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina aequilateralis	Globorotalia tumida	Globorotalia menardii	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerina conglomerata	Comment
  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	  72.00	      2.2200	Smit     	Planktonic Foraminifers                      	               	                  	2                        	19                          	24                        	1                         	4                  	16                   	12                      	2                         	8                    	3                          	8                       	Planktonic 1 Benthic 6; Total number 185; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	  78.00	      2.2800	Smit     	Planktonic Foraminifers                      	               	                  	1                        	19                          	21                        	4                         	9                  	10                   	12                      	0                         	5                    	2                          	12                      	Planktonic 6 Benthic 6; Total number 174; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	  84.00	      2.3400	Smit     	Planktonic Foraminifers                      	               	                  	1                        	21                          	18                        	3                         	4                  	20                   	7                       	0                         	12                   	2                          	11                      	Planktonic 3 Benthic 7; Total number 196; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	  90.00	      2.4000	Smit     	Planktonic Foraminifers                      	               	                  	1                        	19                          	15                        	3                         	7                  	22                   	3                       	2                         	2                    	3                          	20                      	Planktonic 2 Benthic 3; Total number 178; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	  99.00	      2.4900	Smit     	Planktonic Foraminifers                      	               	                  	3                        	15                          	1                         	2                         	22                 	28                   	1                       	0                         	0                    	5                          	21                      	Planktonic 3 Benthic 16; Total number 148; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	 109.00	      2.5900	Smit     	Planktonic Foraminifers                      	               	                  	4                        	9                           	13                        	1                         	22                 	26                   	4                       	0                         	4                    	1                          	13                      	Planktonic 3 Benthic 5; Total number 167; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	 119.00	      2.6900	Smit     	Planktonic Foraminifers                      	               	                  	1                        	18                          	6                         	1                         	31                 	25                   	7                       	0                         	2                    	2                          	6                       	Planktonic 1 Benthic 7; Total number 153; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 2	 129.00	      2.7900	Smit     	Planktonic Foraminifers                      	               	                  	2                        	15                          	43                        	4                         	3                  	13                   	8                       	0                         	1                    	0                          	8                       	Planktonic 2 Benthic 2; Total number 242; from ODP Leg 121 SR Chapter 25 Table 2 p 492

