Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra perplexa,Reticulofenestra gelida,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra producta,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  2,H, 4,  45.00,      9.9500,Wei      ,Nannofossils                                 ,R              ,M                 ,                         ,                       ,                     ,                      ,R                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  2,H, 5,  45.00,     11.4500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  2,H, 6,  45.00,     12.9500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  2,H, 7,  45.00,     14.4500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  2,H,CC,  13.00,     14.7300,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  3,H, 1,  45.00,     14.9500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,R                    ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  3,H, 3,  45.00,     17.9500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,R                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  3,H, 4,  45.00,     19.4500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,119, 737,A,  3,H, 6,  45.00,     22.4500,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                     ,                      ,F                        ,from 119 SR Chapter 26 Table 2 page 471.
,,,,,,,,,,,,,,,,,,,,,,
