Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella raynaudi,Ticinella primula,Hedbergella planispira,Globigerinelloides bentonensis,Biticinella subbreggiensis,Hedbergella delrioensis,Rotalipora globotruncanoides,Praeglobotruncana stephani,Heterohelix moremani,Hedbergella simplex,Costellagerina libyca,Schackoina cenomana,Heterohelix reussi,Heterohelix planata,Heterohelix dentata,Hedbergella holmdelensis,Whiteinella baltica,Heterohelix globulosa,Archaeoglobigerina cretacea,Globigerinelloides messinae,Truncorotalia crassaformis,Sphaeroidinellopsis subdehiscens,Globorotalia inflata,Truncorotalia tosaensis,Sphaeroidinella dehiscens s.l.,Orbulina universa,Globorotalia tumida,Globigerina bulloides,Sphaeroidinellopsis seminulina,Globorotalia menardii,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Globigerinoides extremus,Globigerinoides conglobatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1213,A,  1,R,CC,  13.00,      8.3800,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,F                         ,                                ,F                   ,R                      ,R                             ,P                ,F                  ,F                    ,                              ,R                    ,R                             ,F                    ,F                           ,F                                    ,R                       ,R                          ,Rads C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1213,A,  2,R,CC,  12.00,     12.9100,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,A                         ,                                ,A                   ,R                      ,R                             ,P                ,F                  ,F                    ,                              ,R                    ,R                             ,F                    ,R                           ,R                                    ,                        ,                           ,Rads F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,198,1213,A,  3,R,CC,   6.00,     27.6000,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,A                         ,                                ,D                   ,                       ,F                             ,P                ,F                  ,R                    ,                              ,P                    ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,N21               ,N21           ,198,1213,A,  4,R,CC,   9.00,     29.9000,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,F                         ,                                ,A                   ,                       ,R                             ,P                ,R                  ,R                    ,R                             ,P                    ,                              ,                     ,                            ,                                     ,                        ,                           ,       
