Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Cibicidoides spp.	Nonionella miocenica	Elphidium excavatum f. clavatum	Elphidium articulatum	Bulimina marginata	Bolivina subaenariensis	Elphidium excavatum (Terquem) forma lidoensis	Globocassidulina subglobosa	Fursenkoina fusiformis	Astacolus sp.	Comment
																											
																											
																											
IR					174	1071	B	2	X	CC	0.00	41.8500	Katz	Benthic Foraminifers	A			C		C	R		A	R	R	R	inner-middle neritic (<100m)pyrite clumps formed around some bugs
																											
IR		Pleistocene			174	1071	B	3	X	CC	10.00	49.7400	Katz	Benthic Foraminifers	F								A				inner-middle neritic (<100m) A qtz  M glauconite  C mica R echinoderm spines  M pyrite
																											
IR		Pleistocene			174	1071	B	4	X	CC	0.00	53.4600	Katz	Benthic Foraminifers	C	VG			C				A				inner-middle neritic (<100m)
																											
IR		Pleistocene			174	1071	B	5	X	CC	22.00	65.6900	Katz	Benthic Foraminifers	F	VG	F	C	C	F	F	C					inner-middle neritic (<100m)
																											
IR		Pleistocene			174	1071	B	6	X	CC	34.00	68.1400	Katz	Benthic Foraminifers	R	G	R										
																											
