Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceraspyris coronata	Stylatractus universus	Stylatractus santaeannae	Rhopalastrum spp.	Pterocanium korotnevi	Prunopyle hayesi	Lithartractus timmsi?	Lampromitra sp.	Eucyrtidium cienkowskii	Desmospyris spongiosa	Dendrospyris megalocephalis	Cyrtocapsella japonica	Cycladophora spongothorax	Cycladophora bicornis	Actinomma golownini	Thyrsocyrtis clausa	Stylacontarium sp.	Stichopilium bicorne?	Desmospyris rhodospyroides	Calocyclas humerus	Velicucullus sp.	Sethoconus sp.	Prunopyle titan	Eucyrtidium pseudoinflatum	Druppatractus hastatus	Stylatractus universus var. transparum	Spongotrochus glacialis	Saturnalis circularis	Lychnocanium grande	Eucyrtidium calvertense	Dendrospyris cf. megalocephalis	Acrosphaera murrayana	Acrosphaera australis	Siphonosphaera vesuvius	Cyrtocapsella longithorax	Circodiscus microporus	Lithomelissa stigi	Didymocyrtis/Diartus spp.	Antarctissa deflandrei	Acrosphaera mercurius	Stichocorys peregrina	Actinomma magnifenestra	Spongoplegma sp.	Cycladophora pliocenica	Pterocanium charybdeum trilobum	Lamprocyclas aegles	Antarctissa strelkovi	Hexalonche philosophica?	Acrosphaera labrata	Anthocyrtidium spp.	Antarctissa denticulata	Antarctissa cylindrica	Helotholus vema	Comment



  SR	                 	                 	Upsilon           	              	120	 747	B	  3	H	CC	  13.00	     21.7700	Lazarus  	Radiolarians                                 	A              	G                 	                      	R                     	                        	                 	                     	                	R                    	               	                       	C                    	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	               	                          	                      	                                      	R                      	                     	                   	C                      	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	F                      	                               	                   	                     	                        	                   	                   	A                      	F                     	C              	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	Upsilon           	              	120	 747	B	  4	H	 2	  32.00	     23.6200	Lazarus  	Radiolarians                                 	A              	G                 	                      	R                     	                        	                 	                     	                	+                    	R              	                       	C                    	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	C              	                          	                      	                                      	R                      	+                    	                   	C                      	                               	                     	                     	                       	                         	                      	                  	                         	                      	+                    	                     	                       	                	C                      	                               	                   	                     	                        	                   	                   	A                      	A                     	R              	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	low. Tau          	              	120	 747	B	  4	H	 2	 112.00	     24.4200	Lazarus  	Radiolarians                                 	A              	M                 	                      	                      	                        	+                	                     	                	                     	R              	                       	A                    	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	C              	R                         	                      	                                      	R                      	                     	+                  	C                      	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	C                      	                               	                   	C                    	                        	                   	                   	A                      	C                     	R              	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	low. Tau          	              	120	 747	B	  4	H	 3	  32.00	     25.1200	Lazarus  	Radiolarians                                 	A              	M                 	                      	+                     	+                       	                 	                     	                	                     	+              	                       	F                    	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	               	R                         	                      	                                      	R                      	                     	F                  	C                      	                               	                     	                     	                       	                         	                      	                  	                         	A                     	                     	                     	                       	                	F                      	                               	                   	C                    	                        	                   	                   	C                      	C                     	R              	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790
