Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia margaritae	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides obliquus obliquus	Globigerina nepenthes	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina humerosa	Globorotaloides hexagona	Globorotalia miocenica	Globigerinoides obliquus extremus	Globigerina bulloides	Pulleniatina praecursor	Neogloboquadrina continuosa	Globorotalia exilis	Globorotalia crassaformis crassaformis	Globoquadrina venezuelana	Globigerinoides sacculifer	Globigerinoides ruber (white)	Globigerinoides conglobatus	Globigerinella aequilateralis	Sphaeroidinella dehiscens	Globorotalia tumida	Globorotalia limbata	Globigerina decoraperta	Neogloboquadrina acostaensis (dextral)	Globorotalia scitula	Globorotalia puncticulata	Globorotalia multicamerata	Globorotalia menardii	Globorotalia crassula	Globigerinita glutinata	Globigerinella obesa	Neogloboquadrina dutertrei	Beella digitata	Globorotalia pertenuis	Globigerinoides fistulosus	Globorotalia crassaformis hessi	Globigerina falconensis	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia crassaformis viola	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 660	A	  3	H	 7	  10.00	     20.4000	Weaver   	Planktonic Foraminifers                      	R              	P                 	                              	                 	                                     	                       	                       	P                       	                                 	                     	                                       	                         	                        	                      	                                 	                     	                       	                           	                   	P                                     	                         	                          	                             	                           	                             	P                        	                   	                    	                       	                                      	                    	                         	                          	P                    	                     	                       	                    	P                         	               	                      	                          	                               	                       	P                           	P                            	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	G. truncatulinoides	              	108	 660	A	  3	H	CC	   8.00	     20.8400	Weaver   	Planktonic Foraminifers                      	F              	P                 	                              	                 	                                     	                       	                       	P                       	                                 	                     	                                       	                         	                        	                      	                                 	                     	                       	                           	                   	                                      	                         	P                         	                             	                           	                             	P                        	                   	                    	                       	                                      	                    	                         	                          	P                    	                     	                       	                    	P                         	               	                      	                          	                               	                       	P                           	P                            	                    	P                              	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL6               	              	108	 660	A	  4	H	 7	  54.00	     30.3400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	C                                    	                       	                       	F                       	R                                	                     	                                       	                         	R                       	                      	                                 	R                    	                       	                           	                   	                                      	                         	F                         	F                            	R                          	R                            	R                        	                   	                    	                       	                                      	                    	                         	                          	R                    	                     	                       	                    	C                         	               	                      	                          	                               	R                      	R                           	                             	R                   	R                              	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL6               	              	108	 660	A	  5	H	CC	  18.00	     39.9700	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	F                	R                                    	                       	                       	F                       	R                                	                     	                                       	                         	                        	                      	                                 	R                    	                       	                           	                   	R                                     	                         	F                         	R                            	R                          	R                            	F                        	                   	                    	                       	                                      	R                   	                         	                          	R                    	F                    	R                      	                    	C                         	               	                      	                          	                               	                       	R                           	R                            	R                   	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81
