Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Uvigerina dirupta,Stilostomella verneuilii,Sphaeroidina bulloides,Pyrgo murrhina,Pullenia bulloides,Planulina wuellerstorfi,Oridorsalis umbonatus,Melonis pompilioides,Laticarinina pauperata,Ehrenbergina glabra,Eggerella bradyi,Oolina spp.,Martinottiella communis,Lagena spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B,  1,H, 2,  41.00,      1.9100,forams   ,Benthic Foraminifers                         ,               ,                  ,T             ,T                ,                        ,                      ,T             ,T                 ,T                      ,T                    ,T                   ,                      ,                   ,                ,           ,T                      ,T          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 36,X,CC,  13.00,    335.4700,forams   ,Benthic Foraminifers                         ,C              ,G                 ,R             ,T                ,T                       ,                      ,T             ,T                 ,                       ,R                    ,R                   ,R                     ,                   ,R               ,T          ,                       ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 37,X,CC,  22.00,    345.2000,forams   ,Benthic Foraminifers                         ,C              ,G                 ,T             ,T                ,T                       ,T                     ,T             ,R                 ,F                      ,R                    ,R                   ,R                     ,T                  ,R               ,           ,                       ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
