Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triorites africaensis	Corollina torosus	Ephedripites zaklinskaiae	Classopollis sp.	Araicaroacites australis	Ephedripites montanaensis	Elaterocolpites castelaini	Cyathidites minor	Elaterosporites protensus	Gnetaceaepollenites boltenhagenii	Corollina jardinei	Buttinia andreevi	Steevesipollenites binodosus	Ephedripites translucidus	Ephedripites dudarensis	Classopollis brasiliensis	Retimonocolpites sp.	Petallasporites distaverrucosus	Striatopollis sp.	Hexaporotricolpites emelianovi	Cycadopites carpentieri	Ephedripites sp. 8	Gnetaceaepollenites barghoornii	Leptolepidites tumulosus	Triorites cf. T. africaensis	Leiotriletes spp.	Ephedripites sp. 2	Elaterosporites castelaini	Circulina parva	Ephedripites sp. 7	Cicatricosisporites potomacensis/brevilaesuratus	Cicatricosisporites baconicus	Cretacaeiporites sp.	Galeacornea causea	Tricolporopollenites spp.	Elaterosporites sp.	Comment
  SR	Cenomanian       	                 	                  	              	159	 962	D	 25	R	 1	  33.00	    302.3300	Masure   	Pollen/Spores                                	               	                  	+                    	                 	+                        	+               	+                       	                         	                          	                 	                         	                                 	                  	                 	                            	+                        	                       	                         	                    	                               	                 	                              	                       	                  	+                              	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 26	R	 1	  90.00	    307.5000	Masure   	Pollen/Spores                                	               	                  	+                    	                 	                         	+               	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	+                 	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 26	R	 2	 120.00	    309.3000	Masure   	Pollen/Spores                                	               	                  	                     	                 	+                        	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 27	R	 1	  40.00	    311.7000	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	+                              	                 	+                             	+                      	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 27	R	 1	  80.00	    312.1000	Oboh-Ikuenobe	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	+                 	                 	                            	                         	                       	                         	                    	                               	+                	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 28	R	 1	   8.00	    316.3800	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	+                                	                  	                 	                            	                         	                       	                         	+                   	+                              	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 29	R	 2	  37.00	    327.8700	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	+               	                        	                         	+                         	                 	                         	                                 	                  	                 	+                           	+                        	+                      	+                        	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 30	R	 1	  40.00	    336.0000	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	+                        	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 31	R	 2	  89.00	    347.6900	Oboh-Ikuenobe	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	                 	                         	                                 	+                 	+                	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from 159SR Ch 25 Table 4

