Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria loetterlei	Indeterminate sponge spicules	Indeterminate nodosariidae	Gavelinella barremiana	Lenticulina oligostegia	Dentalina nana	Lenticulina spp.	Indeterminate radiolarians	Indeterminate ostracodes	Indeterminate mollusc debris	Citharina spp.	Astacolus incurvata	Lenticulina subangulata	Lenticulina gaultina	Indeterminate polymorphinidae	Indeterminate echinoid debris	Haplophragmoides linki	Dorothia praeoxycona	Osangularia aff. brotzeni	Gyroidinoides primitiva	Gavelinella intermedia	Gavelinella berthelini	Dorothia filiformis	Praebulimina nannina	Osangularia insigna	Lingulogavelinella newtoni	Lingulogavelinella frankei	Gyroidinoides infracretacea	Gavelinella complanata	Gaudryina dividens	Eggerellina mariae	Osangularia utaturensis	Globorotalites rumanus	Lingulogavelinella kaptarenkae	Gaudryina pulvina	Eggerellina sp. 1	Marssonella oxycona	Verneuilina cretacea	Stensioina kelleri	Eponides sp.	Stensioina granulata granulata	Osangularia cordieriana	Nuttallides truempyi	Eponides simplex	Dorothia retusa	Valvulineria berthelini	Pleurostomella clavata	Nuttallides bronnimanni	Kalamopsis grzybowskii	Gyroidinoides nitidus	Globorotalites conicus	Bandyella greatvalleyensis	Aragonia ouezzanensis	Eponides beiselli	Clavulinoides whitei	Spiroplectammina semicomplanata	Praebulimina carseyae	Osangularia incisa	Lenticulina muensteri	Lagena apiculata	Lituotuba lituiformis	Gyroidinoides globosa	Dentalina communis	Aragonia velascoensis	Stensioina beccariiformis	Spiroplectammina excolata	Indeterminate fish bone fragments	Clavulinoides paleocenica	Tappanina selmensis	Anomalinoides welleri	Cibicidoides mexicanus	Gyroidinoides altiformis	Globocassidulina subglobosa	Clinapertina complanata	Cibicidoides praemundulus	Stilostomella subspinosa	Pullenia quinqueloba	Pullenia bulloides	Osangularia mexicana	Karreriella chapapotensis	Gaudryina laevigata	Cibicidoides grimsdalei	Bulimina semicostata	Anomalinoides spissiformis	Oridorsalis umbonatus	Vulvulina spinosa	Hoeglundina elegans	Gyroidinoides soldanii	Cibicidoides micrus	Cibicidoides eocaenus	Karreriella conversa	Globocassidulina moluccensis	Cibicidoides dutemplei	Comment



  IR	                 	                 	                  	              	192	1183	A	 19	R	 4	  16.00	    794.7600	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	C                         	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	T                           	T                     	Thin-section #2

  IR	                 	                 	                  	              	192	1183	A	 20	R	CC	   2.00	    802.9000	Sikora   	Benthic Foraminifers                         	               	P                 	                       	                             	                          	                      	                       	              	                	R                         	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin section #3 contains a single indeterminate hyaline fragment

  IR	                 	                 	                  	              	192	1183	A	 21	R	 4	 111.00	    814.9100	Sikora   	Benthic Foraminifers                         	               	P                 	                       	                             	                          	                      	                       	              	                	C                         	                        	T                           	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin-section #4 is apparently barren of benthic spp. but is too thick and some specimens may be obscured

  IR	                 	                 	                  	              	192	1183	A	 22	R	 4	  84.00	    824.3400	Sikora   	Benthic Foraminifers                         	R              	P                 	                       	                             	                          	                      	                       	              	                	A                         	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	T              	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	T                   	                            	                      	Thin-section #5
