Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sp. (big opening)	Umbilicosphaera sibogae	Umbilicosphaera dilatata	Thorosphaera flabellata	Sphenolithus moriformis	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Pemma sp.	Helicosphaera carteri	Discoaster spp. (6 rays)	Dictyococcites productus	Coccolithus pelagicus	Calcidiscus premacintyrei	Calcidiscus pataecus	Calcidiscus leptoporus	Braarudosphaera bigelowii	Oolithotus antillarum	Hayaster perplexus	Calcidiscus tropicus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Thoracosphaera heimii	Helicosphaera euphratis	Discolithina sp.	Discoaster variabilis	Discoaster brouweri	Coronocyclus nitescens	Helicosphaera aff. obliqua	Discoaster formosus	Dictyococcites antarcticus	Rhabdosphaera procera	Gephyrocapsa spp. (small)	Cryptococcolithus takayamae	Oolithotus fragilis	Helicosphaera orientalis	Scapholithus fossilis	Discoaster deflandrei	Thoracosphaera fossata	Syracosphaera histrica	Cricosphaera quadrilaminata	Umbilicosphaera spp.	Thoracosphaera saxea	Discoaster surculus	Florisphaera profunda	Rhabdosphaera clavigera	Discoaster spp. (5 rays)	Umbilicosphaera lexus	Syracosphaera pulchra	Syracosphaera binodata	Scyphosphaera pulcherrima	Scyphosphaera apsteinii	Rhabdosphaera longistylis	Helicosphaera wallichii	Helicosphaera aff. inversa	Gephyrocapsa muellerae	Gephyrocapsa margerelii	Discosphaera tubifera	Discolithina japonica	Discolithina indooceanica	Discolithina discopora	Discoaster pentaradiatus	Discoaster adamanteus	Ceratolithus cristatus	Ceratolithus acutus	Discoaster blackstockae	Umbilicosphaera sp. aff. U. sibogae	Discoaster bergenii	Discoaster quinqueramus	Cyclococcolithus cricotus	Amaurolithus primus	Discoaster neorectus	Amaurolithus delicatus	Helicosphaera sellii	Discoaster challengeri	Discoaster triradiatus	Discoaster intercalaris	Discoaster asymmetricus	Amaurolithus amplificus	Discoaster prepentaradiatus	Cyclolithella annula	Triquetrorhabdulus rugosus	Discoaster neohamatus	Discoaster pansus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Sphenolithus sp.	Discolithina multipora	Amaurolithus bizarrus	Discoaster loeblichii	Oolithotus sp.	Discoaster sp. cf. D. surculus	Discoaster tamalis	Pseudoemiliania lacunosa	Coccolithus minimus	Cyclolithella sp.	Discolithina rimosa	Discoaster quadramus	Syracosphaera nodosa	Gephyrocapsa oceanica s.l.	Discolithina scutellum	Umbellosphaera irregularis	Rhabdosphaera stylifera	Holodiscolithus macroporus	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Emiliania huxleyi	Umbilicosphaera hulburtiana	Syracosphaera lamina	Thoracosphaera sp.	Umbellosphaera tenuis	Ceratolithus telesmus	Comment



  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  1	H	 1	  38.00	      0.3800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	A                      	                       	                  	                                	                         	                       	         	R                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	R                        	                           	                   	                        	F                    	                     	                      	R                     	VR                         	                    	                    	                   	AA                   	F                      	                        	C                    	R                    	VR                    	                         	VR                     	                         	                       	                          	                      	                       	F                    	                     	                         	                      	                        	                     	VR                    	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	VR               	                   	                    	                    	F                         	                      	                          	VR                     	VR                        	VR                   	                         	A                	                           	R                   	                  	R                    	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  1	H	 2	  38.00	      1.8800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	A                      	                       	                  	                                	                         	                       	         	F                    	                        	R                       	                     	                         	                    	F                     	                         	C                    	                  	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	R                        	                           	                   	                        	C                    	                     	                      	C                     	R                          	                    	VR                  	                   	A                    	F                      	                        	                     	F                    	                      	                         	VR                     	VR                       	                       	                          	                      	                       	F                    	VR                   	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	                    	C                         	                      	                          	F                      	R                         	R                    	                         	AA               	                           	F                   	                  	F                    	VR                   	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  1	H	 3	  38.00	      3.3800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	VR                  	                   	C                    	F                      	                        	                     	F                    	VR                    	                         	VR                     	                         	                       	                          	                      	                       	                     	VR                   	                         	                      	                        	                     	VR                    	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	                    	F                         	VR                    	                          	                       	                          	VR                   	                         	A                	                           	VR                  	                  	F                    	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  1	H	 4	  38.00	      4.8800	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	A                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	C                    	                  	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	R                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	VR                  	                   	C                    	F                      	                        	A                    	F                    	                      	                         	VR                     	                         	                       	                          	                      	                       	F                    	                     	VR                       	VR                    	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	VR                  	A                         	                      	                          	F                      	                          	F                    	                         	AA               	                           	VR                  	                  	F                    	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket
