Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Solenosphaera omnitubus	Didymocyrtis prismatica	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Lychnodictyum audax	Stichocorys delmontensis	Phormostichoartus doliolum	Dendrospyris bursa	Phormostichoartus fistula	Lithopera bacca	Siphostichartus corona	Anthocyrtidium michelinae	Anthocyrtidium jenghisi	Pterocanium prismatium	Didymocyrtis avita	Acrobotrys tritubus	Didymocyrtis tetrathalamus	Anthocyrtidium prolatum	Amphirhopalum ypsilon	Comment



  SR	                 	                 	S. pentas         	              	115	 707	A	  4	H	 2	 101.00	     28.3100	Johnson  	Radiolarians                                 	R              	P                 	R                    	-                      	                       	                      	                          	               	R                  	                        	-                         	                  	VR                       	R              	                      	R                        	R                      	R                     	-                 	                   	F                         	                       	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  4	H	 4	 101.00	     31.3100	Johnson  	Radiolarians                                 	C              	M                 	C                    	-                      	                       	                      	                          	               	R                  	                        	R                         	                  	R                        	R              	                      	F                        	R                      	R                     	R                 	                   	R                         	R                      	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  4	H	CC	   7.00	     32.6300	Johnson  	Radiolarians                                 	F              	M                 	F                    	-                      	                       	                      	                          	               	R                  	                        	F                         	                  	R                        	R              	                      	F                        	R                      	R                     	R                 	                   	F                         	                       	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  5	H	 2	 102.00	     38.0200	Johnson  	Radiolarians                                 	R              	M                 	R                    	-                      	                       	                      	                          	               	R                  	                        	R                         	                  	R                        	R              	                      	R                        	R                      	R                     	R                 	                   	R                         	R                      	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  5	H	 4	 101.00	     41.0100	Johnson  	Radiolarians                                 	F              	M                 	C                    	-                      	                       	                      	                          	               	F                  	                        	F                         	                  	R                        	F              	                      	R                        	F                      	R                     	R                 	                   	-                         	R                      	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  5	H	 5	 101.00	     42.5100	Johnson  	Radiolarians                                 	C              	M                 	C                    	-                      	                       	-                     	                          	               	F                  	                        	F                         	                  	R                        	F              	                      	                         	R                      	R                     	R                 	                   	R                         	                       	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  5	H	CC	   9.00	     43.5500	Johnson  	Radiolarians                                 	F              	M                 	F                    	-                      	                       	-                     	                          	               	F                  	                        	F                         	                  	R                        	R              	                      	                         	R                      	R                     	F                 	                   	R                         	R                      	-                    	from 115 SR. Chapter 22. Table 2. page 396.

