Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Euphysetta  elegans,Lirella melo,Protocystis micropelecus,Porospathis holostoma,Protocystis swirei,Protocystis sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,114, 701,C,  1,H,CC,   6.00,      9.5200,Ling     ,Radiolarians                                 ,               ,                  ,                   ,            ,1                       ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  7,H, 1,  23.00,     54.0300,Ling     ,Radiolarians                                 ,               ,                  ,                   ,            ,                        ,                     ,                  ,1              ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  7,H, 3,  23.00,     57.0300,Ling     ,Radiolarians                                 ,               ,                  ,                   ,            ,1                       ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  7,H, 5,  23.00,     60.0300,Ling     ,Radiolarians                                 ,               ,                  ,                   ,1           ,                        ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  7,H,CC,   9.00,     60.3500,Ling     ,Radiolarians                                 ,               ,                  ,                   ,            ,                        ,                     ,1                 ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  8,H, 2,  15.00,     64.9500,Ling     ,Radiolarians                                 ,               ,                  ,                   ,1           ,                        ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  8,H, 4,  15.00,     67.9500,Ling     ,Radiolarians                                 ,               ,                  ,                   ,1           ,                        ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  8,H, 6,  15.00,     70.9500,Ling     ,Radiolarians                                 ,               ,                  ,                   ,1           ,F                       ,1                    ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C,  8,H, 7,  15.00,     72.4500,Ling     ,Radiolarians                                 ,               ,                  ,                   ,1           ,                        ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 701,C, 11,H, 4,  40.00,     96.7000,Ling     ,Radiolarians                                 ,               ,                  ,1                  ,            ,                        ,                     ,                  ,               ,from ODP Leg 114 SR Chapter 16 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,
