Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira vulnifica,Thalassiosira kolbei,Nitzschia weaveri,Coscinodiscus insignis,Hemidiscus karstenii,Actinocyclus ingens var. planus,Simonseniella barboi,Thalassiosira elliptipora,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 1, 135.00,      1.3500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.3%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 2,  75.00,      2.2500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.2%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 4,  30.00,      4.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,.1%                 ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 4, 116.00,      5.6600,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,.4%                 ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 6,  75.00,      8.2500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.3%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H, 7,  15.00,      9.1500,Fenner   ,Diatoms                                      ,               ,                  ,.6%                    ,                    ,.6%              ,                      ,                    ,.2%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  1,H,CC,   6.00,      9.5200,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,.3%                   ,                    ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 4,  35.00,     11.1500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,.1%                 ,                               ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
