Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix antarctica	Thalassiosira torokina	Thalassiosira striata	Thalassiosira oliverana	Thalassiosira inura	Thalassiosira convexa	Sponge spicules	Silicoflagellate tests	Odontella aurita	Nitzschia donahuensis	Hemidiscus karstenii	Hemidiscus cuneiformis	Hemidiscus cf. cuneiformis	Fragilariopsis weaveri	Fragilariopsis spp.	Fragilariopsis reinholdii	Fragilariopsis lacrima	Fragilariopsis kerguelensis	Ethmodiscus rex	Azpeitia nodulifera	Actinocyclus fryxellae	Thalassionema nitzschioides	Fragilariopsis barronii	Eucampia antarctica	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Thalassiosira symmetrica	Thalassiosira oestrupii	Thalassiosira gracilis	Rhizosolenia spp.	Proboscia barboi	Fragilariopsis fossilis	Azpeitia tabularis	Thalassiosira leptopus	Thalassiosira eccentrica	Thalassiosira insigna	Transversopontis pseudopulcher	Thalassiosira lentiginosa	Thalassiosira elliptipora	Thalassionema nitzschioides  var. parva	Asteromphalus spp.	Thalassiosira spp.	Thalassiosira complicata	Denticulopsis dimorpha	Diploneis bombus	Actinocyclus ingens var. ovalis	Comment



  IR	                 	                 	                  	              	189	1169	A	  1	H	CC	  17.00	      8.5200	diatoms  	Diatoms                                      	C              	MG                	A                        	                      	                     	C                      	                   	                     	A              	C                     	C               	                     	F                   	A                     	                          	                      	                   	R                        	                      	A                          	               	C                  	                      	                           	                       	R                  	C                       	                                 	                        	+                      	                      	                 	C               	                       	R                 	R                     	F                       	                     	F                             	R                        	                         	                                       	                  	                  	                        	                      	R               	+                              	       

  IR	                 	                 	                  	              	189	1169	A	  2	H	CC	  12.00	     15.0400	diatoms  	Diatoms                                      	C              	G                 	A                        	                      	                     	F                      	F                  	                     	A              	C                     	                	                     	C                   	C                     	                          	C                     	                   	R                        	                      	C                          	R              	                   	                      	R                          	C                      	                   	F                       	R                                	                        	F                      	                      	                 	A               	                       	R                 	                      	F                       	F                    	                              	                         	                         	                                       	                  	F                 	                        	R                     	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  3	H	CC	  15.00	     27.9000	diatoms  	Diatoms                                      	C              	G                 	D                        	                      	                     	C                      	F                  	                     	A              	F                     	R               	                     	F                   	C                     	                          	C                     	                   	C                        	                      	                           	R              	R                  	                      	R                          	                       	                   	                        	R                                	                        	R                      	                      	                 	F               	                       	                  	R                     	R                       	F                    	                              	                         	                         	                                       	                  	R                 	R                       	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  4	H	CC	  10.00	     37.3500	diatoms  	Diatoms                                      	A              	P                 	D                        	                      	                     	F                      	                   	                     	A              	F                     	C               	                     	R                   	F                     	                          	                      	                   	                         	                      	F                          	R              	R                  	F                     	R                          	F                      	                   	R                       	                                 	                        	R                      	R                     	R                	C               	                       	R                 	R                     	                        	                     	R                             	C                        	R                        	R                                      	R                 	                  	                        	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  5	H	CC	  11.00	     46.7900	diatoms  	Diatoms                                      	A              	M                 	D                        	                      	                     	C                      	                   	                     	A              	F                     	                	                     	                    	F                     	                          	                      	                   	                         	R                     	                           	R              	R                  	                      	                           	F                      	                   	F                       	                                 	R                       	                       	                      	                 	C               	                       	                  	                      	F                       	C                    	                              	                         	                         	                                       	                  	                  	                        	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  6	H	CC	  14.00	     56.1100	diatoms  	Diatoms                                      	R              	MG                	C                        	                      	                     	F                      	                   	                     	F              	F                     	D               	                     	R                   	                      	                          	                      	                   	                         	                      	                           	R              	                   	                      	R                          	F                      	                   	F                       	                                 	                        	R                      	                      	                 	                	F                      	                  	F                     	R                       	                     	                              	                         	                         	                                       	                  	                  	                        	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  7	H	CC	  14.00	     66.0000	diatoms  	Diatoms                                      	C              	M                 	C                        	                      	                     	                       	                   	                     	C              	F                     	F               	                     	                    	                      	                          	                      	                   	                         	                      	                           	R              	                   	                      	F                          	F                      	                   	R                       	                                 	R                       	F                      	R                     	R                	C               	C                      	R                 	                      	                        	                     	                              	                         	                         	                                       	                  	                  	                        	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  8	H	CC	   0.00	     75.3200	diatoms  	Diatoms                                      	A              	MG                	C                        	                      	                     	F                      	R                  	                     	A              	F                     	R               	                     	F                   	A                     	D                         	                      	                   	                         	                      	                           	R              	                   	                      	R                          	F                      	R                  	C                       	R                                	                        	                       	                      	                 	                	                       	                  	                      	                        	                     	                              	                         	                         	                                       	                  	                  	                        	                      	                	                               	       

  IR	                 	                 	                  	              	189	1169	A	  9	H	CC	   9.00	     84.4100	diatoms  	Diatoms                                      	C              	MG                	C                        	R                     	R                    	C                      	F                  	F                    	C              	F                     	C               	R                    	F                   	F                     	R                         	C                     	R                  	F                        	R                     	R                          	R              	R                  	R                     	                           	                       	                   	                        	                                 	                        	                       	                      	                 	                	                       	                  	                      	                        	                     	                              	                         	                         	                                       	                  	                  	                        	                      	                	                               	       

