Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia puncticulata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globorotalia truncatulinoides	Globorotalia puncticuloides	Globorotalia inflata	Globigerinita glutinata	Paragloborotalia continuosa	Globorotalia pliozea	Paragloborotalia nympha	Paragloborotalia mayeri	Globorotalia sphericomiozea	Globigerina falconensis	Neogloboquadrina pachyderma (sinistral)	Globorotalia crassaformis	Globorotalia scitula	Globorotalia crassula	Globorotalia hirsuta	Globigerinita uvula	Globigerinella obesa	Globigerinella aequilateralis	Neogloboquadrina dutertrei	Globorotalia triangula	Globorotalia crassaconica	Beella digitata	Comment
  IR	                 	                 	                  	SN12b         	189	1169	A	 17	H	CC	  11.00	    161.0500	forams   	Planktonic Foraminifers                      	A              	G                 	+                        	+                      	+                    	                 	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	+                    	                    	                   	                    	                             	                          	                      	                         	               	       

  IR	                 	                 	                  	SN12b         	189	1169	A	 18	H	CC	  13.00	    170.3700	forams   	Planktonic Foraminifers                      	A              	G                 	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	                       	+                                      	+                        	+                   	                     	                    	                   	                    	                             	                          	                      	                         	               	Test fragmentation common

  IR	                 	                 	                  	SN12b         	189	1169	A	 19	H	CC	   8.00	    178.1600	forams   	Planktonic Foraminifers                      	A              	G                 	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	                           	+                      	+                                      	+                        	+                   	                     	                    	                   	                    	                             	                          	                      	                         	               	Test fragmentation common

  IR	                 	                 	                  	SN12b         	189	1169	A	 20	H	CC	  23.00	    189.3200	forams   	Planktonic Foraminifers                      	A              	G                 	+                        	+                      	+                    	+                	                             	+                          	                    	+                      	                           	                    	                       	                       	+                          	+                      	+                                      	+                        	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	1 possible specimen of G. inflata (contaminant)

  IR	                 	                 	                  	SN12b         	189	1169	A	 21	H	CC	  21.00	    198.1900	forams   	Planktonic Foraminifers                      	C              	M                 	+                        	                       	+                    	+                	                             	+                          	                    	                       	                           	                    	                       	                       	+                          	+                      	+                                      	+                        	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	heavy shell fragmentation, large ostracods and benthics

  IR	                 	                 	                  	SN12a         	189	1169	A	 22	X	CC	   0.00	    202.0600	forams   	Planktonic Foraminifers                      	F              	M                 	+                        	                       	+                    	+                	+                            	                           	+                   	                       	                           	+                   	                       	                       	+                          	+                      	+                                      	+                        	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	mixed assemblage, fish teeth, microtektites, contamination

  IR	                 	                 	                  	SN7           	189	1169	A	 23	X	CC	  12.00	    214.1900	forams   	Planktonic Foraminifers                      	F              	M                 	+                        	+                      	+                    	+                	                             	                           	                    	                       	+                          	                    	+                      	+                      	+                          	+                      	                                       	                         	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	unusual assemblage of diminutive forms, Mixed with upsection contaminants (Gr. puncticulata)

  IR	                 	                 	SN9               	SN1           	189	1169	A	 24	X	CC	   8.00	    222.3300	forams   	Planktonic Foraminifers                      	R              	P                 	+                        	+                      	+                    	                 	                             	                           	+                   	                       	+                          	+                   	                       	                       	                           	                       	                                       	                         	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	Dissolution asmblage probably from SN7 to SN9

  IR	                 	                 	                  	SN14          	189	1169	A	 25	X	CC	  14.00	    231.5800	forams   	Planktonic Foraminifers                      	F              	M                 	+                        	+                      	+                    	+                	+                            	+                          	+                   	+                      	                           	                    	                       	                       	                           	                       	                                       	                         	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	Quaternary carried down hole

  IR	                 	Neogene          	SN12b             	SN1           	189	1169	A	 26	X	CC	  11.00	    243.6300	forams   	Planktonic Foraminifers                      	R              	P                 	+                        	+                      	+                    	                 	                             	                           	                    	                       	                           	                    	                       	                       	                           	                       	                                       	                         	                    	                     	                    	                   	                    	                             	                          	                      	                         	               	       

