Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalita quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinita glutinata	Globigerinita uvula uvula	Globigerinita uvula minuta	Beella digitata	Orbulina universa	Globigerina clarkei	Comment



  IR	                 	Holocene         	                  	CD1           	169	1036	C	  1	H	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	F              	                  	R                        	                                       	                     	R                                    	                    	                       	                         	R                         	               	R                	R                  	Abundant diatoms and radiolarians, a live orospaerid, and various live worms were collected.

  IR	                 	Holocene         	                  	CD1           	169	1036	C	  1	H	 1	  25.00	      0.2500	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                        	C                                      	C                    	R                                    	                    	R                      	R                        	R                         	               	                 	                   	Rare collosphaerids among radiolarians. Diatoms dominate with radiolarians, then planktonic foraminifers.

  IR	                 	Holocene         	                  	CD1           	169	1036	C	  1	H	 1	  50.00	      0.5000	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                        	C                                      	C                    	F                                    	R                   	R                      	R                        	F                         	               	                 	                   	Dominated by planktonic foraminifers, rare radiolarians and urchin spines. Lots of Hoeglundina elegans.

  IR	                 	Holocene         	                  	CD1           	169	1036	C	  1	H	 1	  75.00	      0.7500	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                        	C                                      	C                    	R                                    	R                   	F                      	F                        	C                         	R              	                 	                   	Dominated by planktonic foraminifers with pyritized tubes - pyrite in framboidal form

  IR	                 	Pleistocene      	                  	CD2           	169	1036	C	  1	H	 1	 125.00	      1.2500	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                        	C                                      	C                    	                                     	R                   	                       	F                        	C                         	               	                 	                   	Dominated by planktonic foraminifers, few benthonic foraminifers, nothing else in the sand size fraction.

  IR	                 	Pleistocene      	                  	CD2           	169	1036	C	  1	H	 2	  75.00	      2.2500	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                        	C                                      	C                    	                                     	R                   	F                      	C                        	C                         	               	                 	                   	Dominated by planktonic foraminifers, with virtually nothing else.

  IR	                 	Pleistocene      	                  	CD2           	169	1036	C	  1	H	CC	  15.00	      6.3300	Brunner  	Planktonic Foraminifers                      	A              	M                 	                         	C                                      	C                    	                                     	                    	R                      	R                        	F                         	               	                 	                   	Dominated by planktonic foraminifers with rare radiolarians.

  IR	                 	Pleistocene      	                  	CD2           	169	1036	C	  2	H	CC	  34.00	     15.6700	Brunner  	Planktonic Foraminifers                      	C              	P                 	R                        	C                                      	C                    	                                     	                    	R                      	                         	                          	               	                 	                   	Planktonic foraminifers dominate, pyrite tubes are common; urchin spine, radiolarians, rare benthonic foraminifers

  IR	                 	Pleistocene      	                  	CD2           	169	1036	C	  3	H	 7	   0.00	     24.9000	Brunner  	Planktonic Foraminifers                      	C              	P                 	R                        	C                                      	C                    	                                     	R                   	R                      	                         	                          	               	                 	                   	Hemipelagic, encrusted foraminifers.

  IR	                 	Pleistocene      	                  	CD3           	169	1036	C	  3	H	CC	  23.00	     25.5200	Brunner  	Planktonic Foraminifers                      	A              	P                 	F                        	C                                      	A                    	F                                    	                    	                       	                         	                          	               	                 	                   	Planktonic foraminifers dominate with tubes and aggregates of cemented mineral grains

  IR	                 	Pleistocene      	                  	CD4           	169	1036	C	  4	H	CC	  35.00	     35.3900	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                        	R                                      	R                    	                                     	                    	                       	                         	                          	               	                 	                   	Lithified lumps of fine sand with pyrite. Light brown foraminifers.

