leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
38,342,,7,1,107.0,151.50,152.57,  152.67,"KHARIN, G.",BASALT BRECCIA,PCE NO PIECE NUMBERS ASSIGNED,"FINE-GRAINED, BRECCIATED, DRILL PEBBLES",,comments: TRACES OF WEATHERING (OXIDATION),,,,,,,
38,342,,7,1,117.0,151.50,152.67,  153.00,"KHARIN, G.",PLAG-PYX PHYRIC BASALT,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,RARE FISSURES CONTAINING DARK GREEN CHLORITE,,MEDIUM LIGHT GRAY (N6) TO MEDIUM DARK GRAY (N4),     1-4               CHLORITE         IRREGULAR comments : SMALL VESICLES SOMETIMES FILLED WITH GREEN CHLORITE,PLAG | PYX,,CHLORITE,,
38,342,,7,2,0.0,151.50,153.00,  154.50,"KHARIN, G.",PLAG-PYX PHYRIC BASALT,PCE NO PIECE NUMBERS ASSIGNED,"PHYRIC, FINE TO MEDIUM-GRAINED",RARE CALCITE VEINS 1-4MM THICK AT 28-30 & 98-130CM,,MEDIUM LIGHT GRAY (N6) TO MEDIUM DARK GRAY (N4),"  0.2-10               CHLORITE, CALCITEIRREGULAR comments : VESICLES SOMETIMES FILLED WITH WHITE CALCITE AND DARK GREEN CHLORITE--ON WALLS",PLAG                1-2 | PYX                 1-2,,PYRITE comments :  SMALL PYRITE CRYSTALS | CALCITE | CHLORITE,,
38,342,,7,3,6.0,151.50,154.56,  156.00,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SEC 2,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,INTERVAL 40-47CM CONTAINS A FISSURE WITH BLUE-GRAY CHLORITE & SMALL NEEDLE CRYSTALS--PROBABLY ZEOLITE,,,,,,CHLORITE | ZEOLITE,,
38,342,,7,4,0.0,151.50,156.00,  157.50,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SECS 2&3,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,"CHLORITE VEINS AT 60 & 120-150CM, CALCITE VEINS AT 25 & 99-100CM",,"GRAY (N4) TO GRAYISH BLACK (N2), DARKER THAN PREVIOUS SECTIONS",,,,CHLORITE | CALCITE,,
38,342,,7,5,0.0,151.50,157.50,  159.00,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SECS 2-4,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,"RARE SLICKENSIDES WITH BLACK CHLORITE, INTERVAL 48-55CM CONTAINS BRANCHING VEINS 2-3MM THICK OF WHITE CALCITE, INTERVAL 74-78CM CONTAINS ROUND AND ELLIPSOIDAL XENOLITH OF COARSE BASALT? WITH DIMENSIONS 3X1.5CM",,,     2-4               EMPTY            IRREGULAR comments : AT 100-105 & 125-150CM,,,CHLORITE | CALCITE,,
38,342,,8,1,75.0,161.00,161.75,  161.90,"KHARIN, G.",BASALT,PCE NO PIECE NUMBERS ASSIGNED,DRILL PEBBLES,,"comments: WEATHERED, YELLOW OXIDATION CRUST",,,,,,,
38,342,,8,1,90.0,161.00,161.90,  162.10,"KHARIN, G.",PHYRIC BASALT,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,THICK VEINS OF WHITE CALCITE,,,,,,CALCITE,,
38,342,,8,1,110.0,161.00,162.10,  162.50,"KHARIN, G.",PLAG-PYX PHYRIC BASALT,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,,,DARK GRAY (N3),"                       CHLORITE, CALCITE comments : RARE AMYGDULES OF GREEN & DARK GREEN CHLORITE & WHITE CALCITE |           2-3          EMPTY            IRREGULAR comments : RARE VESICLES WITH THIN CRUST OF BLUE CHLORITE",PLAG | PYX,,CALCITE | CHLORITE,,
38,342,,8,2,0.0,161.00,162.50,  164.00,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SEC 1,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,,,RARE SMALL PIECE OF COPPER AT 130-140CM WITH DIMENSIONS 0.5-1MM,"                       EMPTY comments : BIG EMPTY VESICLES (2X3CM) AT 8-15CM, SMALL EMPTY VESICLES (1X2MM) AT 120-150CM |                        CALCITE comments : WHITE CALCITE FILLS VESICLES BELOW 15CM",,,CALCITE,,
38,342,,8,3,10.0,161.00,164.10,  165.50,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SECS 1&2,PCE NO PIECE NUMBERS ASSIGNED,"PHYRIC, HOMOGENEOUS","RARE THIN CALCITE VEINS, INTERVAL 139-143CM CONTAINS A XENOLITH OF COARSE IGNEOUS ROCK WITH DIMENSIONS 3X4CM",,RARE SMALL PIECES OF COPPER THROUGHOUT,"                       EMPTY comments : RARE SMALL VESICLES |                        CHLORITE, CALCITE comments : AMYGDULES",,,CHLORITE | CALCITE,,
38,342,,8,4,0.0,161.00,165.50,  167.00,"KHARIN, G.",PLAG-PYX PHYRIC BASALTSAME LITHOLOGY AS SECS 1-3,PCE NO PIECE NUMBERS ASSIGNED,PHYRIC,"VERY RARE THIN CALCITE VEINS, THIN FISSURE CONTAINS BLACK CHLORITE AND NEEDLE-LONG CRYSTALS OF ZEOLITE?",,RARE SMALL IRREGULAR PIECES OF COPPER THROUGHOUT,"     1-3               EMPTY,           ROUNDED, |                        CHLORITE, CALCITEIRREGULAR comments : SMALL IRREGULAR & ROUNDED VESICLES AT 80-130CM SOMETIMES FILLED WITH CALCITE & CHLORITE",,,CHLORITE | CALCITE,,
