Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Saturnalis circularis	Lamprocyclas hannai	Eucyrtidium calvertense	Axoprunum angelinum	Pterocanium trilobum	Stichocorys peregrina	Phormostichoartus fistula	Lamprocyrtis heteroporos	Stichocorys delmontensis	Didymocyrtis avita	Eucyrtidium teuscheri teuscheri	Didymocyrtis penultima	Spongurus pylomaticus	Didymocyrtis tetrathalamus tetrathalamus	Lamprocyrtis neoheteroporos	Phormostichoartus corbula	Cycladophora cornutoides	Pterocanium praetextum eucolpum	Cycladophora pliocenica	Eucyrtidium acuminatum	Cycladophora sakaii	Amphirhopalum ypsilon	Cycladophora davisiana	Theocorythium trachelium trachelium	Comment



  IR	                 	                 	                  	              	175	1082	A	 18	X	CC	  24.00	    163.0600	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	                   	+                   	                     	                         	1                       	                        	                  	+                              	                      	+                    	                                        	+                          	                         	1                       	+                              	                       	1                     	                   	1                    	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 19	X	CC	  31.00	    172.7400	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	1                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	+                                       	+                          	                         	                        	                               	                       	1                     	                   	+                    	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 20	X	CC	  32.00	    183.5100	Motoyama 	Radiolarians                                 	C              	G                 	                     	+                  	+                      	                   	+                   	                     	                         	+                       	                        	                  	+                              	                      	                     	                                        	                           	1                        	+                       	1                              	                       	                      	                   	                     	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 21	X	CC	  30.00	    193.4700	Motoyama 	Radiolarians                                 	A              	G                 	                     	                   	+                      	1                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	                     	                                        	+                          	1                        	                        	                               	+                      	                      	                   	                     	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 22	X	CC	  22.00	    201.3100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	+                                       	                           	                         	                        	                               	1                      	                      	                   	1                    	+                     	+                                  	       

  IR	                 	                 	                  	              	175	1082	A	 23	X	CC	  48.00	    213.1900	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	+                                       	+                          	+                        	+                       	1                              	                       	1                     	                   	1                    	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 24	X	CC	  22.00	    223.0300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	                     	                         	                        	                        	                  	+                              	                      	+                    	1                                       	                           	+                        	+                       	                               	                       	1                     	                   	                     	+                     	                                   	       

