Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rigaudella aemula	Peridictyocysta mirabilis	Oligosphaeridium sp. A	Meiourogonyaulax maculata	Meiourogonyaulax diaphanis	Leptodinium eumorphum	Egmontodinium torynum	Belodinium nereidis	Batioladinium spp.	Amphorula sp. A	Acanthaulax granulata	Wanaea spp.	Scriniodinium attadalense	Perisseiasphaeridium inusitatum	Gonyaulacysta jurassica	Fromea cylindrica	Wallodinium luna	Tubotuberella spp.	Meiourogonyaulax sp. A	Hystrichodinium group B	Dingodinium jurassicum	Ellipsoidictyum cinctum	Bourkidinium spp.	Tetrachacysta sp. A	Scriniodinium ceratophorum	Papuadinium apiculatum	Meiourogonyaulax stoveri	Prolixosphaeridium spp.	Meiourogonyaulax cf. maculatum	Sentusidinium sp. A	Pareodinia spp.	Scriniodinium crystallinum	Tanyosphaeridium spp.	Nannoceratopsis pellucida	Systematophora areolata	Leptodinium mirabile	Amphorula? sp. B	Hystrichodinium group A	Wallodinium spp.	Canninginopsis tabulata	Dissimulidinium lobispinosum	Scriniodinium playfordii	Tetrachacysta sp. B	Stiphrosphaeridium anthophorum	Pareodinia robusta	Liesbergia sp. A	Oligosphaeridium diluculum	Batioladinium reticulatum	Balcattia sp. A	Apteodinium granulatum	Dapsilidinium warrenii	Cassiculosphaeridia magna	Circulodinium deflandrei	Comment



  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  6	R	 1	  46.00	    661.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	                         	                          	+                    	+                    	+                  	                  	               	                     	           	                         	                               	                       	+                	                	+                 	                      	+                      	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	+               	                       	                            	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  6	R	 2	 107.00	    663.1700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	+               	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  7	R	 1	  23.00	    665.8300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  7	R	 2	  47.00	    667.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	+                 	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	+                             	                  	                	                          	+                        	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513
