Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis foliacea,Naviculopsis constricta,Distephanus speculum speculum (6-sided),Distephanus crux,Dictyocha  grandis (seven-sided),Dictyocha grandis (varianid),Dictyocha grandis (pseudofibulid),Dictyocha grandis (notabilid),Dictyocha grandis (multiwindowed),Dictyocha grandis (five-sided),Dictyocha fibula,Dictyocha byronalis,Dictyocha aspera,Corbisema hastata,Corbisema apiculata,Bachmannocena paulschulzi,Bachmannocena apiculata,Lyramula furcula,Naviculopsis trispinosa,Naviculopsis eobiapiculata,Naviculopsis biapiculata,Distephanus speculum  pentagonus,Dictyocha deflandrei,Distephanus speculum speculum (6-sided; multiwindowed),Distephanus speculum pentagonus (multiwindowed),Dictyocha frenguelli,Corbisema archangelskiana,Distephanus speculum speculum (7-sided),Bachmannocena apiculata (no basal spines),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,N. biapiculata(Cies),              ,,120,749,B,1,H,1,110.00,1.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                       ,4,                ,                                ,                            ,                                 ,                             ,                                 ,                              ,                ,                   ,                ,                 ,                   ,                         ,8,                ,3,22,143,8,                    ,21,1,                    ,                         ,1,1,Number of aberrants = 2; from ODP Leg 120 SR Vol 2 Chapter 42 Table 4 p 820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,N. biapiculata(Cies),              ,,120,749,B,1,H,3,110.00,4.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                       ,2,45,                                ,                            ,                                 ,                             ,                                 ,                              ,                ,1,                ,                 ,                   ,                         ,3,                ,                       ,3,18,                                ,                    ,                                                      ,1,1,                         ,                                       ,                                         ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 4 p 820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,C. archangelskiana,              ,,120,749,B,2,H,2,110.00,8.4000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                       ,36,10,                                ,                            ,                                 ,                             ,                                 ,                              ,                ,                   ,                ,                 ,                   ,                         ,30,                ,                       ,                          ,6,4,                    ,10,1,8,13,                                       ,                                         ,Number of aberrants = 2; from ODP Leg 120 SR Vol 2 Chapter 42 Table 4 p 820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,B. paulschulzii(M&H),N. trispinosa(M & H),,120,749,B,2,H,5,110.00,12.9000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                       ,1,16,                                ,                            ,                                 ,                             ,                                 ,                              ,                ,                   ,                ,1,                   ,                         ,                       ,                ,14,9,11,1,                    ,                                                      ,                                               ,                    ,                         ,                                       ,                                         ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 4 p 820
