Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma reticulata,Bolboforma compressibadenensis,Bolboforma pseudohystrix,Bolboforma laevis,Bolboforma compressispinosa,Bolboforma clodiusi,Bolboforma badenensis,Bolboforma spinosa,Bolboforma voeringensis,Bolboforma fragori,Bolboforma subfragori,Bolboforma metzmacheri,Bolboforma intermedia,Bolboforma c. costairregularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. costairregularis,              ,104, 642,B, 10,H, 2,  52.00,     77.9200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,                 ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,R                             ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. costairregularis,              ,104, 642,B, 10,H, 3,  52.00,     79.4200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,                 ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,A                             ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 11,H, 2,  46.00,     87.3600,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,R                ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. intermedia     ,              ,104, 642,B, 12,H, 6,  67.00,    103.0700,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,                 ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,R                     ,C                    ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B, 13,H, 6,  74.00,    112.4400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,                 ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,cf                   ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 642,B, 15,H, 2,  74.00,    125.7400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,R                ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,A                     ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
