Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella madecassiana,Ticinella cf. roberti,Heterohelix moremani,Heterohelix cf. angolae,Hedbergella delrioensis,Globigerinelloides caseyi,Costellagerina libyca,Hedbergella sp.,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Sphaeroidinella dehiscens,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina acostaensis,Globorotalia menardii,Globigerinoides extremus,Globigerinita glutinata,Sphaeroidinellopsis kochi,Orbulina universa,Globoturborotalita woodi,Globorotalia tumida,Globorotalia crassaformis,Globoquadrina venezuelana,Globigerinoides obliquus,Globigerinella obesa,Dentoglobigerina altispira,Globigerinoides ruber,Globigerinoides conglobatus,Globoturborotalita apertura,Globorotalia scitula,Globorotalia pertenuis,Globorotalia miocenica,Globorotalia inflata,Globorotaloides hexagona,Turborotalita humilis,Pulleniatina obliquiloculata,Globoturborotalita decoraperta,Neogloboquadrina pachyderma (dextral),Candeina nitida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  1,H, 1,  50.00,      0.5000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,                              ,                                  ,                         ,                         ,C                         ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,R                    ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,R                           ,                              ,F                                    ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  1,H, 3,  50.00,      3.5000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,                              ,                                  ,                         ,                         ,                          ,                            ,R                    ,                        ,                       ,                         ,                 ,                        ,F                  ,C                        ,                         ,                        ,                    ,                          ,C                    ,                           ,                           ,R                   ,                      ,                      ,                    ,R                       ,                     ,F                           ,                              ,F                                    ,R              ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  1,H,CC,  13.00,      7.4400,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,                              ,                                  ,                         ,R                        ,F                         ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,F                  ,                         ,                         ,                        ,                    ,                          ,                     ,R                          ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,R                                    ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  2,H, 3,  50.00,     11.0000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,                          ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,T                ,                        ,T                  ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,T                           ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
