Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Micula prinsii	Micula murus	Micula decussata	Cyclagelosphaera margerelii	Ceratolithoides aculeus	Arkhangelskiella cymbiformis	Prediscosphaera cretacea	Cribrosphaerella ehrenbergii	Quadrum sp.	Quadrum sissinghii	Quadrum gothicum	Cylindralithus sp.	Cretarhabdus crenulatus	Thoracosphaera spp.	Markalius astroporus	Biantholithus sparsus	Micrantholithus spp.	Lithraphidites quadratus	Sphenolithus primus	Fasciculithus tympaniformis	Ellipsolithus macellus	Discoaster nobilis	Discoaster multiradiatus	Discoaster mohleri	Coccolithus pelagicus	Comment



  IR	Late Paleocene   	                 	                  	              	130	 803	D	 68	R	 1	   0.10	    621.8010	Takayama 	Nannofossils                                 	               	                  	                    	                	              	            	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	+                  	+                          	+                     	+                 	+                       	+                 	+                    	from 130IR.Chapter 5.Table 4.page 122.

  IR	Late Paleocene   	                 	                  	              	130	 803	D	 68	R	 1	   0.90	    621.8090	Takayama 	Nannofossils                                 	               	                  	                    	                	              	            	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	+                  	+                          	+                     	+                 	+                       	+                 	+                    	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	   5.00	    621.8500	Takayama 	Nannofossils                                 	               	                  	+                   	+               	              	+           	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  10.00	    621.9000	Takayama 	Nannofossils                                 	               	                  	+                   	                	              	            	+               	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	                    	                     	+                   	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  15.00	    621.9500	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	                           	+                      	                            	                        	+                           	           	                  	                	                  	                       	+                  	                    	                     	                    	+                       	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  25.00	    622.0500	Takayama 	Nannofossils                                 	               	                  	+                   	                	              	+           	+               	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	                    	                     	+                   	+                       	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

