Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Catapsydrax dissimilis,Morozovella spp.,Globoquadrina venezuelana,Globoquadrina binaiensis,Globorotalia opima nana,Globoquadrina sellii,Dentoglobigerina globularis,Globorotalia pseudokugleri,Globorotalia mayeri/siakensis,Globigerinatheka spp.,Sphaeroidinellopsis seminulina,Globigerinoides quadrilobatus s.l.,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira altispira,Globorotalia fohsi fohsi,Globigerinoides obliquus obliquus,Orbulina universa,Globorotalia scitula,Globorotalia menardii s.l.,Globoturborotalita nepenthes,Globoturborotalita druryi,Dentoglobigerina altispira globosa,Globorotalia plesiotumida,Pulleniatina primalis,Neogloboquadrina acostaensis,Globigerinoides obliquus extremus,Globigerinoides conglobatus,Pulleniatina obliquiloculata,Globorotalia tumida tumida,Globorotalia limbata,Sphaeroidinellopsis kochi,Neogloboquadrina humerosa,Globoquadrina conglomerata,Globigerinella siphonifera,Candeina nitida,Sphaeroidinella dehiscens,Globorotalia tumida flexuosa,Globigerinoides ruber s.l.,Globorotaloides hexagona,Globorotalia crassaformis,Globigerinoides elongatus,Sphaeroidinella spp.,Orbulina spp.,Neogloboquadrina spp.,Globorotalia spp.,Globigerinoides spp.,Globigerinita spp.,Globigerinella spp.,Globigerina spp.,Candeina spp.,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globigerinita glutinata,Globorotalia truncatulinoides,Globorotalia tosaensis,Globigerinella calida,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 708,A,  1,H, 2,  20.00,      1.7000,Vilks    ,Planktonic Foraminifers                      ,               ,                  ,                      ,                      ,                ,                         ,                        ,                       ,                    ,                           ,                          ,                             ,                     ,                              ,                                  ,                               ,                                    ,                        ,                                 ,                 ,                    ,                          ,                            ,                         ,                                  ,                         ,                     ,                            ,                                 ,                           ,                            ,                          ,                    ,                         ,                         ,                          ,                          ,               ,                         ,                            ,                          ,                        ,                         ,                         ,0                   ,0            ,0                    ,0                ,0                   ,0                 ,0                  ,0               ,0            ,                          ,                          ,                       ,                             ,                      ,                     ,               ,from 115 SR. Chapter 33. Table 3. page 624.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 708,A,  1,H, 2,  90.00,      2.4000,Vilks    ,Planktonic Foraminifers                      ,               ,                  ,                      ,                      ,                ,                         ,                        ,                       ,                    ,                           ,                          ,                             ,                     ,                              ,                                  ,                               ,                                    ,                        ,                                 ,                 ,                    ,                          ,                            ,                         ,                                  ,                         ,                     ,                            ,                                 ,                           ,                            ,                          ,                    ,                         ,                         ,                          ,                          ,               ,                         ,                            ,                          ,                        ,                         ,                         ,2                   ,1            ,11                   ,43               ,37                  ,0                 ,1                  ,0               ,0            ,                          ,                          ,                       ,                             ,                      ,                     ,               ,from 115 SR. Chapter 33. Table 3. page 624.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 708,A,  1,H, 2, 100.00,      2.5000,Vilks    ,Planktonic Foraminifers                      ,               ,                  ,                      ,                      ,                ,                         ,                        ,                       ,                    ,                           ,                          ,                             ,                     ,                              ,                                  ,                               ,                                    ,                        ,                                 ,                 ,                    ,                          ,                            ,                         ,                                  ,                         ,                     ,                            ,                                 ,                           ,                            ,                          ,                    ,                         ,                         ,                          ,                          ,               ,                         ,                            ,                          ,                        ,                         ,                         ,1                   ,0            ,20                   ,70               ,2                   ,0                 ,0                  ,0               ,0            ,                          ,                          ,                       ,                             ,                      ,                     ,               ,from 115 SR. Chapter 33. Table 3. page 624.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 708,A,  1,H, 2, 128.00,      2.7800,Vilks    ,Planktonic Foraminifers                      ,               ,                  ,                      ,                      ,                ,                         ,                        ,                       ,                    ,                           ,                          ,                             ,                     ,                              ,                                  ,                               ,                                    ,                        ,                                 ,                 ,                    ,                          ,                            ,                         ,                                  ,                         ,                     ,                            ,                                 ,                           ,                            ,                          ,                    ,                         ,                         ,                          ,                          ,               ,                         ,                            ,                          ,                        ,                         ,                         ,1                   ,1            ,25                   ,39               ,22                  ,0                 ,8                  ,0               ,1            ,                          ,                          ,                       ,                             ,                      ,                     ,               ,from 115 SR. Chapter 33. Table 3. page 624.
