Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolboforma sp. 2	Bolboforma spiralis	Bolboforma rotunda	Bolboforma irregularis	Bolboforma sp. 1 aff. B. spinosa	Bolboforma reticulata	Bolboforma cyst	Bolboforma spinosa	Bolboforma badenensis	Bolboforma danielsi	Bolboforma compressibadenensis	Bolboforma subfragori	Bolboforma fragori	Bolboforma capsula	Bolboforma laevis	Bolboforma metzmacheri	Bolboforma groenlandica	Bolboforma sp. B	Comment



  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 24	R	 2	  68.00	    505.3800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	C               	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 24	R	 2	 120.00	    505.9000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	C                      	R               	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 24	R	 3	  26.00	    506.3000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	R                     	A                      	R               	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 25	R	 1	  45.00	    513.2500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	R                      	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 29	R	 1	  95.00	    552.3500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	R              	                  	                     	                   	                              	                     	                  	                  	F                	R                     	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 29	R	 2	  95.00	    553.8500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	C                	R                     	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 31	R	 1	  73.00	    571.4300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	R                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 32	R	 1	  95.00	    581.2500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	F                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

