Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina nepenthes	Sphaeroidinellopsis kochi	Globorotalia plesiotumida	Globorotalia margaritae	Globorotalia cibaoensis	Globigerinoides extremus	Globigerinoides conglobatus	Pulleniatina primalis	Dentoglobigerina altispira	Globorotalia tumida	Pulleniatina (S)	Globorotalia multicamerata	Sphaeroidinellopsis seminulina	Pulleniatina (D)	Globorotalia tosaensis	Globigerinoides fistulosus	Globorotalia crassaformis	Globorotalia truncatulinoides	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia menardii	Globigerinoides ruber	Candeina nitida	Beella digitata	Globigerinoides ruber (pink)	Globigerinoides sacculifer	Comment
  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1143	B	  7	H	 7	  47.00	     62.3700	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	                          	                              	                	                      	                          	                         	P                            	                         	                            	                          	                     	                     	               	               	                            	                          	<1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1143	B	  8	H	CC	  32.00	     72.1900	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	                          	                              	                	                      	                          	                         	P                            	                         	                            	                          	                     	                     	               	               	                            	                          	~1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1143	B	  9	H	CC	  25.00	     81.7100	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	                          	                              	                	                      	P                         	                         	P                            	                         	                            	                          	                     	                     	               	               	                            	                          	1.6~2.0 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 10	H	CC	  23.00	     91.2800	forams   	Planktonic Foraminifers                      	A              	VG                	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	                          	                              	                	                      	                          	P                        	                             	                         	                            	                          	                     	                     	               	               	                            	                          	2.0~2.4 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 11	H	CC	  21.00	    100.5900	forams   	Planktonic Foraminifers                      	A              	VG                	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	F                         	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	>2.4 Ma

