Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Neogloboquadrina praehumerosa,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (sinistral),Globorotalia scitula (dextral),Globorotalia menardii group,Globoquadrina spp.,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinoides bulloideus,Globigerinita uvula,Globigerinita glutinata,Globigerinids sp.,Globigerinella pseudobesa,Globigerinella praecalida,Globigerina quinqueloba,Globigerina nepenthes,Globigerina multiloba,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Beella praedigitata,Neogloboquadrina pachyderma,Hastigerina siphonifera,Globigerinoides obliquus extremus,Globigerinella obesa,Globigerina apertura,Orbulina bilobata,Globigerinoides ruber,Globigerinoides trilobus,Sphaeroidinellopsis seminulina,Globigerinoides quadrilobatus,Turborotalita sp.,Globigerinoides conglobatus,Globigerinoides sacculifer,Globorotalia margaritae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 20,X, 6,  66.00,    183.0600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                 ,R                 ,R                            ,R                                    ,R                                  ,R.7%                                    ,A16.7%                                ,                    ,                                ,C9.2%                         ,                           ,                  ,R                            ,F                                ,                          ,                   ,                       ,C                ,F                        ,R                        ,F                      ,F1.7%                ,                     ,R                  ,C                      ,C                      ,R                    ,A                    ,R                  ,                           ,R                      ,                                 ,R                   ,F                   ,                 ,                     ,                        ,R.7%                          ,F                            ,                 ,                           ,F                         ,F3.3%                  ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 20,X,CC,  26.00,    184.6800,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,                             ,                                     ,R                                  ,                                        ,C                                     ,R                   ,3.3%                            ,F6.6%                         ,                           ,                  ,                             ,F                                ,                          ,                   ,A                      ,C                ,F                        ,                         ,F                      ,F1.3%                ,                     ,R                  ,F                      ,C                      ,                     ,C                    ,F                  ,                           ,F                      ,F                                ,F                   ,                    ,F                ,                     ,                        ,                              ,R                            ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 2,  67.00,    186.6700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,                                     ,F                                  ,R.7%                                    ,A24.4%                                ,R                   ,R.4%                            ,F3.6%                         ,                           ,                  ,F                            ,C                                ,                          ,                   ,C                      ,F                ,R                        ,                         ,                       ,F2.2%                ,                     ,R                  ,F                      ,C                      ,                     ,C                    ,R                  ,                           ,                       ,                                 ,R                   ,R                   ,                 ,                     ,R                       ,R.4%                          ,C                            ,                 ,                           ,C                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 2, 108.00,    187.0800,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,                                     ,F                                  ,R.6%                                    ,A20.4%                                ,F                   ,                                ,R.3%                          ,                           ,                  ,C                            ,C                                ,                          ,                   ,C                      ,F                ,F                        ,                         ,R                      ,C9.1%                ,                     ,R                  ,C                      ,C                      ,                     ,C                    ,R                  ,F                          ,R                      ,                                 ,R                   ,                    ,                 ,                     ,                        ,R.3%                          ,R                            ,                 ,                           ,F                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
