Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina velascoensis	Pseudohastigerina wilcoxensis	Parasubbotina varianta	Parasubbotina paleocenica	Morozovella subbotinae	Morozovella allisonensis	Morozovella aequa	Morozovella acuta	Globanomalina pseudoimitata	Globanomalina planoconica	Globanomalina ovalis	Chiloguembelina wilcoxensis	Acarinina soldadoensis	Acarinina sibaiyaensis	Acarinina nitida	Acarinina coalingensis	Acarinina africana	Subbotina patagonica	Morozovella velascoensis	Morozovella marginodentata	Morozovella apanthesma	Morozovella gracilis	Acarinina wilcoxensis	Igorina broedermanni	Acarinina berggreni	Subbotina triangularis	Acarinina quetra	Comment



  IR	                 	                 	                  	              	199	1220	B	 18	X	 1	   8.00	    187.9800	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	                      	                        	                 	                 	                           	                         	                    	                           	R                     	                      	                	R                     	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 18	X	 2	  58.00	    189.9800	planks   	Planktonic Foraminifers                      	T              	P                 	                      	                             	                      	                         	                      	                        	                 	                 	                           	                         	                    	                           	                      	                      	                	R                     	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 18	X	 3	 119.00	    191.4100	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	P                        	                      	                        	                 	                 	                           	                         	                    	                           	                      	                      	                	P                     	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 19	X	 1	  77.00	    193.1700	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	                      	                        	P                	                 	P                          	                         	                    	                           	F                     	                      	                	F                     	                  	                    	                        	P                         	                      	                    	A                    	                    	                   	F                     	R               	       

  IR	                 	                 	                  	              	199	1220	B	 19	X	CC	  14.00	    193.6800	planks   	Planktonic Foraminifers                      	C              	M                 	                      	                             	                      	                         	A                     	                        	R                	                 	                           	                         	                    	                           	A                     	                      	                	A                     	                  	P                   	                        	R                         	                      	                    	                     	P                   	P                  	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 1	  23.00	    197.6300	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	P                     	                        	                 	                 	                           	                         	                    	                           	F                     	                      	                	F                     	                  	                    	                        	                          	P                     	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 1	  44.00	    197.8400	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	                      	                        	                 	                 	                           	                         	                    	                           	R                     	                      	F               	R                     	                  	                    	                        	                          	P                     	                    	                     	                    	                   	                      	                	       

