Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Globorotalia menardii,Globorotalia inflata,Globigerinoides ruber,Neogloboquadrina dutertrei,Globorotalia crassaformis,Globorotalia tumida,Globigerinoides ruber (pink),Sphaeroidinella dehiscens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  1,H,CC,  10.00,      6.8000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,                             ,                     ,F                   ,A                    ,                          ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  2,H,CC,  15.00,     16.6100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,                             ,                     ,F                   ,A                    ,                          ,R                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  3,H,CC,  28.00,     26.5400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,P                            ,                     ,F                   ,A                    ,F                         ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  4,H,CC,  18.00,     36.0700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,P                            ,                     ,R                   ,A                    ,F                         ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  5,H,CC,  20.00,     45.3200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,                             ,                     ,F                   ,A                    ,F                         ,R                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  6,H,CC,  33.00,     55.1000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,F                   ,A                    ,F                         ,F                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  7,H,CC,  30.00,     64.2600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,F                   ,A                    ,F                         ,F                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  8,H,CC,  24.00,     73.7000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,F                   ,A                    ,F                         ,F                        ,                   ,                            ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
