Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongasteriscus marylandicus,Eucyrtidium diaphanes,Artophormis gracilis,Theocorys spongoconus,Dorcadospyris ateuchus,Didymocyrtis prismatica,Theocyrtis annosa,Stichocorys wolffii,Eucyrtidium sp.,Calocycletta robusta,Lychnocanoma elongata,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Stichocorys delmontensis,Didymocyrtis (?) bassanii,Cyrtocapsella japonica,Phormostichoartus corbula,Didymocyrtis tubaria,Calocycletta virginis,Didymocyrtis violina,Didymocyrtis mammifera,Calocycletta costata,Didymocyrtis laticonus,Calocycletta caepa,Lithopera neotera,Didymocyrtis antepenultima,Diartus petterssoni,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 902,D, 18,X, 3,  60.00,    148.6000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                     ,                      ,                       ,                 ,                   ,               ,                    ,                     ,                       ,                     ,                        ,                         ,                      ,                         ,                    ,                     ,                    ,                      ,                    ,+                     ,                  ,                 ,                          ,                   ,From Leg 150 SR; Ch 3; Table 1; p. 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 902,D, 19,X, 3,  60.00,    155.4100,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                            ,                     ,                    ,                     ,                      ,                       ,                 ,                   ,               ,                    ,                     ,                       ,                     ,+                       ,                         ,+                     ,+                        ,                    ,                     ,                    ,                      ,                    ,+                     ,                  ,+                ,+                         ,                   ,From Leg 150 SR; Ch 3; Table 1; p. 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 902,D, 21,X, 3,  60.00,    173.6300,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                     ,                      ,                       ,                 ,                   ,               ,                    ,                     ,                       ,                     ,                        ,                         ,+                     ,                         ,                    ,                     ,                    ,                      ,                    ,+                     ,                  ,                 ,?                         ,                   ,From Leg 150 SR; Ch 3; Table 1; p. 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 902,D, 22,X, 3,  60.00,    183.9000,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                            ,                     ,                    ,                     ,                      ,                       ,                 ,                   ,               ,                    ,                     ,                       ,                     ,                        ,                         ,+                     ,+                        ,                    ,                     ,                    ,                      ,                    ,+                     ,                  ,                 ,                          ,+                  ,From Leg 150 SR; Ch 3; Table 1; p. 38
